uc_id,use_case,domain,fy26_subdomain,fy27_subdomain,value_drivers,scenario_count,test_case_count,products,product_addon,status
UC-CSPM,Cloud Security Posture Management (CSPM),One Cortex,Cloud Posture Security,Cloud Security,Reduce Risk. Redefine Security.,5,5,Cortex Cloud,Cloud,Active
UC-CVM,Vulnerability Management,One Cortex,Cloud Posture Security,Attack Surface & Exposure Management,Reduce Risk. Redefine Security.,3,3,"Cortex Cloud, XSIAM","Cloud, Host Insights",Active
UC-DSPM,Data Security Posture Management (DSPM),One Cortex,Cloud Posture Security,Data Security & Email,Reduce Risk. Redefine Security.,4,4,Cortex Cloud,Cloud,Active
UC-KSPM,Kubernetes Security Posture Management (KSPM),One Cortex,Cloud Posture Security,Cloud Security,Reduce Risk. Redefine Security.,3,3,Cortex Cloud,Cloud,Active
UC-PSER,Posture Security Enterprise Readiness,One Cortex,Cloud Posture Security,Cloud Security,Reduce Risk. Redefine Security.,2,2,Cortex Cloud,Cloud,Active
UC-SCS,Supply Chain Security,One Cortex,Cloud Posture Security,Application Security,Reduce Risk. Redefine Security.,5,5,Cortex Cloud,"AppSec, Cloud",Active
UC-CITH,Accelerated Investigations & Threat Hunting,One Cortex,Cloud Runtime Security,Cloud Security,Reduce Risk. Redefine Security.,21,21,"Cortex Cloud, XSIAM, Cortex XDR","Cloud, Forensics",Active
UC-RSER,Cloud Native Workload Protection,One Cortex,Cloud Runtime Security,Cloud Security,Reduce Risk. Redefine Security.,5,5,"Cortex Cloud, Cortex XDR",Cloud,Active
UC-WAAS,Web API & Application Security,One Cortex,Cloud Runtime Security,Cloud Security,Reduce Risk. Redefine Security.,5,5,Cortex Cloud,Cloud,Active
UC-DLP,Data Loss Prevention (DLP),One Cortex,—,Data Security & Email,Reduce Risk. Redefine Security.; Simplify Operations. Optimize Cost.,6,11,"XSIAM, Cortex XDR",DLP,Active
UC-AES,Advanced Email Security,One Cortex,—,Data Security & Email,Reduce Risk. Redefine Security.; Enhance Operational Efficiency & Talent Sustainability,5,9,XSIAM,Email Security,Active
UC-AEPS,Agentic Endpoint Security,One Cortex,—,Endpoint Protection,Reduce Risk. Redefine Security.; Enhance Operational Efficiency & Talent Sustainability,3,3,"Cortex XDR, XSIAM",Agentic Endpoint Security,Draft — DC review
UC-AGTX,Agentic Automation (AgentiX),One Cortex,—,Security Automation,Enhance Operational Efficiency & Talent Sustainability; Simplify Operations. Optimize Cost.,6,12,"XSIAM, XSOAR",Compute Units,Active
UC-AIRS,AI Runtime Security (Prisma AIRS),One Cortex,—,AI Security,Reduce Risk. Redefine Security.; Accelerate Secure Growth & Innovation,5,10,"Prisma AIRS, Cortex Cloud",—,Active
UC-XDL,Extended Data Lake (XDL) & Observability,One Cortex,—,SOC Transformation,Simplify Operations. Optimize Cost.; Accelerate Secure Growth & Innovation,5,9,"XSIAM, Chronosphere",—,Active
UC-CC2,Cortex Cloud 2.0 Enhancements,One Cortex,—,Cloud Security,Reduce Risk. Redefine Security.; Simplify Operations. Optimize Cost.,3,6,Cortex Cloud,Cloud,Active
UC-XTI,Extended Threat Intelligence (XTI),One Cortex,Security Workflow Automation,Security Automation,Reduce Risk. Redefine Security.; Enhance Operational Efficiency & Talent Sustainability,6,10,"XSIAM, XSOAR, Cortex XDR, NGFW",XTI,Draft — DC review
UC-APB,Autonomous Playbooks (AgentiX),One Cortex,Security Workflow Automation,Security Automation,Enhance Operational Efficiency & Talent Sustainability; Simplify Operations. Optimize Cost.,5,10,"AgentiX, XSIAM, XSOAR, Cortex Cloud",AgentiX,Draft — DC review
