uc_id,use_case,fy27_subdomain,current_products,current_addon,base_platform,addon,addon_skus,adjacent,min_license_path,bundle_alternative,rationale
UC-SOT,Security Operations Transformation,SOC Transformation,XSIAM,Compute Units,Cortex XSIAM,Data Ingestion — GB/day · Compute Units,PAN-XSIAM-BASE-GB · PAN-XSIAM-COMP-UNT,—,XSIAM NG-SIEM,any tier,"Transformation UC — platform-level, no security add-on gate."
UC-MDR,Managed Detection & Response (MDR),SOC Transformation,"Unit 42 MDR, XSIAM, Cortex XDR","Host Insights, Forensics, XTH, XTI, Compute Units",Cortex XSIAM · Cortex XDR,Endpoint Protection · Host Insights · Forensics · XTH · XTI · Compute Units,PAN-XSIAM-ADV-EP · PAN-XSIAM-HOST-INST · PAN-XSIAM-FRNS · PAN-XSIAM-XTH · PAN-XSIAM-ADV-SOC · PAN-XSIAM-COMP-UNT,Unit 42 MDR,XSIAM NG-SIEM + Endpoint Protection + Forensics + Host Insights + XTH + XTI,XSIAM Premium + Forensics + Host Insights + XTH,"Unit 42 MDR is a SERVICE, not a product SKU — moved to Adjacent."
UC-MSIAM,Managed XSIAM (MSIAM),SOC Transformation,"Unit 42 Managed XSIAM, XSIAM","Host Insights, Forensics, XTH, XTI, Compute Units",Cortex XSIAM,Endpoint Protection · Host Insights · Forensics · XTH · XTI · Compute Units,PAN-XSIAM-ADV-EP · PAN-XSIAM-HOST-INST · PAN-XSIAM-FRNS · PAN-XSIAM-XTH · PAN-XSIAM-ADV-SOC · PAN-XSIAM-COMP-UNT,Unit 42 Managed XSIAM,XSIAM NG-SIEM + Endpoint Protection + Forensics + Host Insights + XTH + XTI,XSIAM Premium + Forensics + Host Insights + XTH,Service moved to Adjacent.
UC-MTH,Managed Threat Hunting (MTH),SOC Transformation,"Unit 42 MTH, XSIAM",XTH,Cortex XSIAM,XTH,PAN-XSIAM-XTH,Unit 42 MTH,XSIAM NG-SIEM + XTH,XSIAM Premium + XTH,Sheet comment on B17 confirms: 'Connects to the specific XTH sku'.
UC-ITPA,IT Process Automation,Security Automation,"XSIAM, XSOAR",Compute Units,Cortex XSIAM,Compute Units,PAN-XSIAM-COMP-UNT,Cortex XSOAR · Cortex AgentiX,XSIAM NG-SIEM,any tier,"XSOAR/AgentiX are separately-licensed base products, not XSIAM add-ons."
UC-SOAR,SOC Process Automation,Security Automation,"XSIAM, XSOAR",Compute Units,Cortex XSIAM,Compute Units,PAN-XSIAM-COMP-UNT,Cortex XSOAR · Cortex AgentiX,XSIAM NG-SIEM,any tier,Sheet comment B19: 'Need to add agentix flavored use cases' — see UC-APB.
UC-TIM,Threat Intelligence Management,Security Automation,"XSIAM, XSOAR, NGFW",XTI,Cortex XSIAM,TIM · XTI,PAN-XSIAM-TIM · PAN-XSIAM-ADV-SOC,Cortex XSOAR · PAN-OS NGFW,XSIAM NG-SIEM + TIM + XTI,XSIAM Premium + TIM,TIM and XTI are SEPARATE add-on line items — both apply here.
UC-AGRP,Cloud Application Lifecycle Management,Application Security,"Cortex Cloud, Cortex XDR, XSIAM","AppSec, Cloud",Cortex Cloud,Cloud AppSec · Cloud Posture,PAN-XSIAM-APPSEC · PAN-XSIAM-CLOUD-POSTURE,—,Cortex Cloud + Cloud AppSec + Cloud Posture,—,"Application Security add-on gates Code Security, not ASPM."
UC-ASER,Application Security Enterprise Readiness,Application Security,"Cortex Cloud, Cortex XDR, XSIAM",AppSec,Cortex Cloud,Cloud AppSec,PAN-XSIAM-APPSEC,—,Cortex Cloud + Cloud AppSec,—,Sheet comment B22 proposes DLP / Advanced Email Security scope — see Open Questions.
UC-ASPMC,ASPM Command Center,Application Security,"Cortex Cloud, Cortex XDR, XSIAM",AppSec,Cortex Cloud,Cloud Posture,PAN-XSIAM-CLOUD-POSTURE,—,Cortex Cloud + Cloud Posture,—,CORRECTION: ASPM Command Center ships with ANY posture license. Application Security add-on is NOT required.
UC-DEVX,Secure Developer Experience (CICD Security_,Application Security,"Cortex Cloud, Cortex XDR, XSIAM",AppSec,Cortex Cloud,Cloud Posture,PAN-XSIAM-CLOUD-POSTURE,—,Cortex Cloud + Cloud Posture,—,CORRECTION: CI/CD Security is auto-included with posture. AppSec add-on not required.
UC-IACS,Infrastructure-as-Code Scanning,Application Security,"Cortex Cloud, Cortex XDR, XSIAM",AppSec,Cortex Cloud,Cloud AppSec,PAN-XSIAM-APPSEC,—,Cortex Cloud + Cloud AppSec,—,IaC Security IS inside Code Security — AppSec add-on correctly required.
UC-SCA,Software Composition Analysis,Application Security,"Cortex Cloud, Cortex XDR, XSIAM",AppSec,Cortex Cloud,Cloud AppSec,PAN-XSIAM-APPSEC,—,Cortex Cloud + Cloud AppSec,—,SCA is inside Code Security — AppSec add-on correctly required.
UC-SSCAN,Secrets Security,Application Security,"Cortex Cloud, Cortex XDR, XSIAM",AppSec,Cortex Cloud,Cloud AppSec,PAN-XSIAM-APPSEC,—,Cortex Cloud + Cloud AppSec,—,Secrets Security is inside Code Security — AppSec add-on correctly required.
UC-PGE,Platform Operations & Governance,Cloud Security,"Cortex Cloud, XSIAM",Cloud,Cortex XSIAM · Cortex Cloud,Retention · Compute Units,PAN-XSIAM-DATASET-RTN · PAN-XSIAM-COMP-UNT,—,XSIAM NG-SIEM,any tier,"Platform ops/governance — capacity and retention, not a security add-on."
UC-AISP,AI Security Posture Management,AI Security,"Cortex Cloud, Prisma AIRS",Cloud,Cortex Cloud,Cloud Posture,PAN-XSIAM-CLOUD-POSTURE,Prisma AIRS,Cortex Cloud + Cloud Posture,—,"AI-SPM is inside the agentless posture bundle. Prisma AIRS is adjacent, not a Cortex add-on."
UC-ASPM,Application Security Posture Management (ASPM),Application Security,"Cortex Cloud, XSIAM","AppSec, Cloud",Cortex Cloud,Cloud Posture,PAN-XSIAM-CLOUD-POSTURE,—,Cortex Cloud + Cloud Posture,—,CORRECTION: ASPM is free with any posture license — AppSec add-on removed.
UC-CCMP,Compliance,Cloud Security,Cortex Cloud,Cloud,Cortex Cloud,Cloud Posture,PAN-XSIAM-CLOUD-POSTURE,—,Cortex Cloud + Cloud Posture,—,
UC-CIEM,Cloud Infrastructure Entitlement Management (CIEM),Identity Security,Cortex Cloud,Cloud,Cortex Cloud,Cloud Posture,PAN-XSIAM-CLOUD-POSTURE,—,Cortex Cloud + Cloud Posture,—,CIEM is in the agentless posture bundle.
UC-CRPS,Risk Prioritization & Scoring,Cloud Security,Cortex Cloud,Cloud,Cortex Cloud,Cloud Posture,PAN-XSIAM-CLOUD-POSTURE,—,Cortex Cloud + Cloud Posture,—,
UC-CRWA,Cloud Remediation & Workflow Automation,Cloud Security,"Cortex Cloud, XSIAM","Cloud, Compute Units",Cortex Cloud · Cortex XSIAM,Cloud Posture · Compute Units,PAN-XSIAM-CLOUD-POSTURE · PAN-XSIAM-COMP-UNT,Cortex AgentiX,XSIAM NG-SIEM + Cloud Posture,XSIAM Premium + Cloud Posture,
UC-CSPM,Cloud Security Posture Management (CSPM),Cloud Security,Cortex Cloud,Cloud,Cortex Cloud,Cloud Posture,PAN-XSIAM-CLOUD-POSTURE,—,Cortex Cloud + Cloud Posture,—,Sheet comment B39 proposes folding UC-PSER into this UC — see Open Questions.
UC-CVM,Vulnerability Management,Attack Surface & Exposure Management,"Cortex Cloud, XSIAM","Cloud, Host Insights",Cortex Cloud · Cortex XSIAM,Cloud Posture · Host Insights · EM,PAN-XSIAM-CLOUD-POSTURE · PAN-XSIAM-HOST-INST · PAN-XSIAM-EM,—,XSIAM NG-SIEM + Cloud Posture + EM + Host Insights,XSIAM Premium + Cloud Posture + EM + Host Insights,Vuln mgmt spans cloud agentless scan (posture) + endpoint (Host Insights) + prioritization (EM).
UC-DSPM,Data Security Posture Management (DSPM),Data Security & Email,Cortex Cloud,Cloud,Cortex Cloud,Cloud Posture · Cortex Data Security ⚠,PAN-XSIAM-CLOUD-POSTURE · — NO SKU IN PRICE BOOK,—,Cortex Cloud + Cloud Posture + Cortex Data Security ⚠,—,Cortex Data Security is its own licensable unit; DSPM is also in the posture bundle.
UC-KSPM,Kubernetes Security Posture Management (KSPM),Cloud Security,Cortex Cloud,Cloud,Cortex Cloud,Cloud Posture,PAN-XSIAM-CLOUD-POSTURE,—,Cortex Cloud + Cloud Posture,—,
UC-PSER,Posture Security Enterprise Readiness,Cloud Security,Cortex Cloud,Cloud,Cortex Cloud,Cloud Posture,PAN-XSIAM-CLOUD-POSTURE,—,Cortex Cloud + Cloud Posture,—,Candidate merge into UC-CSPM per sheet comment B39.
UC-SCS,Supply Chain Security,Application Security,Cortex Cloud,"AppSec, Cloud",Cortex Cloud,Cloud AppSec · Cloud Posture,PAN-XSIAM-APPSEC · PAN-XSIAM-CLOUD-POSTURE,—,Cortex Cloud + Cloud AppSec + Cloud Posture,—,Supply chain = SCA + SBOM (Code Security) + posture context.
UC-CITH,Accelerated Investigations & Threat Hunting,Cloud Security,"Cortex Cloud, XSIAM, Cortex XDR","Cloud, Forensics",Cortex Cloud · Cortex XSIAM,Cloud Runtime · Forensics · XTH,PAN-XSIAM-ADV-EP-CLOUD-CRS · PAN-XSIAM-FRNS · PAN-XSIAM-XTH,—,XSIAM NG-SIEM + Cloud Runtime + Forensics + XTH,XSIAM Premium + Cloud Runtime + Forensics + XTH,"Investigation/hunt in cloud runtime requires Runtime Security, not posture."
UC-RSER,Cloud Native Workload Protection,Cloud Security,"Cortex Cloud, Cortex XDR",Cloud,Cortex Cloud · Cortex XDR,Cloud Runtime,PAN-XSIAM-ADV-EP-CLOUD-CRS,—,Cortex Cloud + Cloud Runtime,—,"CWP lives in Cloud Runtime Security (C3), not posture."
UC-WAAS,Web API & Application Security,Cloud Security,Cortex Cloud,Cloud,Cortex Cloud,Cloud Runtime,PAN-XSIAM-ADV-EP-CLOUD-CRS,—,Cortex Cloud + Cloud Runtime,—,WAAS is bundled inside Cloud Runtime Security.
UC-DLP,Data Loss Prevention (DLP),Data Security & Email,"XSIAM, Cortex XDR",DLP,Cortex XSIAM · Cortex XDR,Endpoint DLP · Endpoint Protection,PAN-XSIAM-EP-DLP · PAN-XSIAM-ADV-EP,—,XSIAM NG-SIEM + Endpoint DLP + Endpoint Protection,XSIAM Premium + Endpoint DLP,Endpoint DLP requires the XDR agent — Enterprise Runtime Security add-on is a hard dependency.
UC-AES,Advanced Email Security,Data Security & Email,XSIAM,Email Security,Cortex XSIAM,Email Security,PAN-XSIAM-EMAIL,—,XSIAM NG-SIEM + Email Security,XSIAM Premium + Email Security,"Canonical name is 'Advanced Email Security', not 'Email Security'. NOT available on legacy Enterprise Plus."
UC-AEPS,Agentic Endpoint Security,Endpoint Protection,"Cortex XDR, XSIAM",Agentic Endpoint Security,Cortex XDR · Cortex XSIAM,Endpoint Protection · Agentic Endpoint Security (AES) ⚠,PAN-XSIAM-ADV-EP · — NO SKU IN PRICE BOOK,—,XSIAM NG-SIEM + Agentic Endpoint Security (AES) ⚠ + Endpoint Protection,XSIAM Premium + Agentic Endpoint Security (AES) ⚠,AES packaging UNCONFIRMED — appears in zero public license tables. DEFERRED for internal price-book confirmation.
UC-AGTX,Agentic Automation (AgentiX),Security Automation,"XSIAM, XSOAR",Compute Units,Cortex XSIAM,Compute Units,PAN-XSIAM-COMP-UNT,Cortex AgentiX · Cortex XSOAR,XSIAM NG-SIEM,any tier,"AgentiX is a per-user base product, NOT an XSIAM add-on. This was mis-classed."
UC-AIRS,AI Runtime Security (Prisma AIRS),AI Security,"Prisma AIRS, Cortex Cloud",—,Cortex Cloud,Cloud Posture,PAN-XSIAM-CLOUD-POSTURE,Prisma AIRS,Cortex Cloud + Cloud Posture,—,Prisma AIRS is a separate Prisma-line product. Was blank ('—').
UC-XDL,Extended Data Lake (XDL) & Observability,SOC Transformation,"XSIAM, Chronosphere",—,Cortex XSIAM,Data Ingestion — GB/day · Data Lake Ingestion — GB/day · Retention,PAN-XSIAM-BASE-GB · PAN-XSIAM-BASE-GB-LAKE · PAN-XSIAM-DATASET-RTN,Chronosphere,XSIAM NG-SIEM,any tier,"XDL is platform-layer branding, not a SKU — it resolves to the data-ingestion ladder. Was blank ('—')."
UC-CC2,Cortex Cloud 2.0 Enhancements,Cloud Security,Cortex Cloud,Cloud,Cortex Cloud,Cloud Posture · Cloud Runtime,PAN-XSIAM-CLOUD-POSTURE · PAN-XSIAM-ADV-EP-CLOUD-CRS,—,Cortex Cloud + Cloud Posture + Cloud Runtime,—,
UC-XTI,Extended Threat Intelligence (XTI),Security Automation,"XSIAM, XSOAR, Cortex XDR, NGFW",XTI,Cortex XSIAM,XTI · TIM,PAN-XSIAM-ADV-SOC · PAN-XSIAM-TIM,Cortex XSOAR · PAN-OS NGFW · Cortex Xpanse,XSIAM NG-SIEM + TIM + XTI,XSIAM Premium + TIM,XTI and TIM are separate line items; the NGFW/EDL enforcement loop is adjacent.
UC-APB,Autonomous Playbooks (AgentiX),Security Automation,"AgentiX, XSIAM, XSOAR, Cortex Cloud",AgentiX,Cortex XSIAM,Compute Units,PAN-XSIAM-COMP-UNT,Cortex AgentiX · Cortex XSOAR,XSIAM NG-SIEM,any tier,"AgentiX licensed per user/yr with its own compute allocation — Adjacent, not Add-On."
