scenario_id,plane,yml_uc_ref,yml_tc_ref,yml_moat_tier,yml_methodology_family,index_tc_exists,index_use_case,index_tier,index_validation_class,verdict,detail
SIM-ITDR-007,ITDR,UCS-ITDR-07,TC-ITDR-07,MOAT,F1,NO,—,—,—,DANGLING,tc_ref 'TC-ITDR-07' does not exist in the v2.2 index
SIM-ITDR-008,ITDR,UCS-ITDR-08,TC-ITDR-08,MOAT,F1,NO,—,—,—,DANGLING,tc_ref 'TC-ITDR-08' does not exist in the v2.2 index
SIM-KOI-001,KOI,UCS-KOI-01,TC-KOI-01,MOAT,F1,NO,—,—,—,DANGLING,tc_ref 'TC-KOI-01' does not exist in the v2.2 index
SIM-KOI-002,KOI,UCS-KOI-02,TC-KOI-02,MOAT,F1,NO,—,—,—,DANGLING,tc_ref 'TC-KOI-02' does not exist in the v2.2 index
SIM-KOI-003,KOI,UCS-KOI-03,TC-KOI-03,MOAT,F1,NO,—,—,—,DANGLING,tc_ref 'TC-KOI-03' does not exist in the v2.2 index
SIM-KOI-004,KOI,UCS-KOI-04,TC-KOI-04,MOAT,F1,NO,—,—,—,DANGLING,tc_ref 'TC-KOI-04' does not exist in the v2.2 index
SIM-KOI-005,KOI,UCS-KOI-05,TC-KOI-05,MOAT,F1,NO,—,—,—,DANGLING,tc_ref 'TC-KOI-05' does not exist in the v2.2 index
SIM-KOI-006,KOI,UCS-KOI-06,TC-KOI-06,MOAT,F1,NO,—,—,—,DANGLING,tc_ref 'TC-KOI-06' does not exist in the v2.2 index
SIM-MP-001,ANALYTICS,UCS-MP-01,TC-MP-01,MOAT,F2,NO,—,—,—,DANGLING,tc_ref 'TC-MP-01' does not exist in the v2.2 index
SIM-MP-002,ANALYTICS,UCS-MP-02,TC-MP-02,MOAT,F2,NO,—,—,—,DANGLING,tc_ref 'TC-MP-02' does not exist in the v2.2 index
SIM-MP-003,ANALYTICS,UCS-MP-03,TC-MP-03,MOAT,F2,NO,—,—,—,DANGLING,tc_ref 'TC-MP-03' does not exist in the v2.2 index
SIM-MP-004,ANALYTICS,UCS-MP-04,TC-MP-04,MOAT,F2,NO,—,—,—,DANGLING,tc_ref 'TC-MP-04' does not exist in the v2.2 index
SIM-MP-005,ANALYTICS,UCS-MP-05,TC-MP-05,MOAT,F2,NO,—,—,—,DANGLING,tc_ref 'TC-MP-05' does not exist in the v2.2 index
SIM-MP-006,ANALYTICS,UCS-MP-06,TC-MP-06,MOAT,F2,NO,—,—,—,DANGLING,tc_ref 'TC-MP-06' does not exist in the v2.2 index
SIM-NDR-001,NDR,UCS-NDR-01,TC-NDR-01,LEAD,F1,yes,Network Detection & Response,MOAT,DET,FALSE MATCH,string collides but tier disagrees (index=MOAT vs yml=LEAD) — different test case
SIM-NDR-002,NDR,UCS-NDR-02,TC-NDR-02,LEAD,F1,yes,Network Detection & Response,MOAT,DET,FALSE MATCH,string collides but tier disagrees (index=MOAT vs yml=LEAD) — different test case
SIM-NDR-003,NDR,UCS-NDR-03,TC-NDR-03,LEAD,F1,yes,Network Detection & Response,MOAT,DET,FALSE MATCH,string collides but tier disagrees (index=MOAT vs yml=LEAD) — different test case
SIM-NDR-004,NDR,UCS-NDR-04,TC-NDR-04,LEAD,F1,yes,Network Detection & Response,MOAT,DET,FALSE MATCH,string collides but tier disagrees (index=MOAT vs yml=LEAD) — different test case
SIM-NDR-005,NDR,UCS-NDR-05,TC-NDR-05,LEAD,F1,yes,Network Detection & Response,MOAT,PLT,FALSE MATCH,string collides but tier disagrees (index=MOAT vs yml=LEAD) — different test case
SIM-NDR-006,NDR,UCS-NDR-06,TC-NDR-06,LEAD,F1,yes,Network Detection & Response,MOAT,DET,FALSE MATCH,string collides but tier disagrees (index=MOAT vs yml=LEAD) — different test case
SIM-NDR-007,NDR,UCS-NDR-07,TC-NDR-07,LEAD,F1,NO,—,—,—,DANGLING,tc_ref 'TC-NDR-07' does not exist in the v2.2 index
SIM-TIM-001,TIM,UCS-TIM-01,TC-TIM-01,MOAT,F2,yes,Threat Intelligence Management,LEAD,PLT,FALSE MATCH,string collides but tier disagrees (index=LEAD vs yml=MOAT) — different test case
SIM-TIM-002,TIM,UCS-TIM-02,TC-TIM-02,LEAD,F8,yes,Threat Intelligence Management,MOAT,DET,FALSE MATCH,string collides but tier disagrees (index=MOAT vs yml=LEAD) — different test case
