tc_sheet,tc_id,uc_id,ucs_id,use_case,scenario,test_case_title,test_case_description,validation_methodology,success_criteria,primary_kpi,threshold,measurement_method,detection_source,simulation_input,expected_signal,tool_script_ref,pre_req_setup,moat_classification,differentiation_tier,products,product_addon,execution_complexity,est_pov_duration,status
SecOps,TC-IR-10,UC-IR,UCS-IR-05,Incident Response,Poor Prioritization / Risk Misalignment,Demonstrate case starring and auto-prioritization workflow for VIP assets,"Tags a set of VIP and executive assets and validates that incidents touching them surface at the top of the analyst queue automatically, compressing time-to-acknowledge for the accounts where dwell time carries the most business consequence.",Prioritization Workflow,Case starring and auto-prioritization function correctly; priority queue reflects risk-based ordering; analyst workflow accelerated through prioritized queue,MTTD,Qualitative pass,Inspect XSIAM UI / query XQL dataset for prioritization workflow; compare to expected baseline,XSIAM UI + XQL,Execute scenario-specific simulation for Poor Prioritization / Risk Misalignment,Case starring and auto-prioritization function correctly,pov-scripts/secops/ir/tc-ir-10.md,"TBD — confirm tenant state, agent version, Broker VM config",Table Stakes,PARITY,"XSIAM, XDR",,Medium,1–4hr,Active
SecOps,TC-IR-11,UC-IR,UCS-IR-06,Incident Response,Repetitive Manual Workflows,Validate auto-enrichment populates incident context without analyst action,"Measures what proportion of incidents reach the analyst already carrying threat-intel verdicts, reputation scores, and asset ownership, and how long that enrichment takes — the test is whether the first analyst touch is a decision rather than a lookup.",Enrichment Coverage & Speed,"Automated enrichment adds TI, reputation, and asset context pre-analyst review; enrichment completes within defined time SLA; enrichment sources produce accurate, current data",Coverage %,Qualitative pass,Inspect XSIAM UI / query XQL dataset for enrichment coverage & speed; compare to expected baseline,XSIAM UI + XQL,Execute scenario-specific simulation for Repetitive Manual Workflows,"Automated enrichment adds TI, reputation, and asset context pre-analyst review",pov-scripts/secops/ir/tc-ir-11.md,"TBD — confirm tenant state, agent version, Broker VM config",Table Stakes,PARITY,"XSIAM, XDR",,Medium,1–4hr,Active
SecOps,TC-IR-12,UC-IR,UCS-IR-06,Incident Response,Repetitive Manual Workflows,Demonstrate incident synthesis generates executive summary from correlated alert data,"Takes a fully correlated incident and has the platform generate its narrative summary, grading the output against the underlying evidence for factual accuracy and completeness so a shift lead or executive can act on it without reopening the investigation.",AI Summary Accuracy,Incident synthesis generates accurate executive summary; key findings correctly captured; summary supports rapid decision-making without full investigation review,Detection Accuracy,Qualitative pass,Inspect XSIAM UI / query XQL dataset for ai summary accuracy; compare to expected baseline,XSIAM UI + XQL,Execute scenario-specific simulation for Repetitive Manual Workflows,Incident synthesis generates accurate executive summary,pov-scripts/secops/ir/tc-ir-12.md,"TBD — confirm tenant state, agent version, Broker VM config",Table Stakes,PARITY,"XSIAM, XDR",,Medium,1–4hr,Active
SecOps,TC-TH-01,UC-TH,UCS-TH-01,Threat Hunting,Manual / Ad-hoc Hunting Processes,Validate XQL query execution for hypothesis-driven hunting across full data lake,"Runs hypothesis-driven hunts as XQL against the full retained data lake rather than a hot-tier subset, timing common query patterns and confirming a hit pivots straight into causality context without exporting results to a separate analytics tool.",Query Performance & Accuracy,XQL queries return accurate results across full data lake; search performance meets SLA for common query patterns; query results support pivot-based investigation workflow,Detection Accuracy,Qualitative pass,Inspect XSIAM UI / query XQL dataset for query performance & accuracy; compare to expected baseline,XQL query engine (/public_api/v1/xql/start_xql_query),"Pre-seeded hunt dataset with 20–30 known IOCs across credential access, persistence, exfiltration",XQL queries return accurate results across full data lake,pov-scripts/secops/th/tc-th-01.md,"TBD — confirm tenant state, agent version, Broker VM config",Platform,MOAT,"XSIAM, XDR",,Medium,1–4hr,Active
SecOps,TC-TH-02,UC-TH,UCS-TH-01,Threat Hunting,Manual / Ad-hoc Hunting Processes,Demonstrate automated hunting via scheduled correlation searches with IOC feeds,"Schedules recurring hunt queries and pushes a fresh IOC feed, confirming the platform retroactively sweeps historical data for the new indicators and alerts on hits — turning a hunt into a standing control rather than a one-off analyst exercise.",Automation Reliability,Scheduled queries execute on defined cadence; IOC feed retroactive scanning functions correctly; automated alerting triggers when hunts produce matches,Automation Rate,Qualitative pass,Inspect XSIAM UI / query XQL dataset for automation reliability; compare to expected baseline,XSIAM UI + XQL,Trigger incident matching automated playbook conditions; measure playbook completion,Scheduled queries execute on defined cadence,pov-scripts/secops/th/tc-th-02.md,"TBD — confirm tenant state, agent version, Broker VM config",Table Stakes,PARITY,"XSIAM, XDR",,Medium,1–4hr,Active
SecOps,TC-TH-03,UC-TH,UCS-TH-02,Threat Hunting,Disconnected Non-Security Data,"Validate XDR dataset ingestion of non-security sources (HR, asset mgmt, cloud logs)","Ingests business context that is not security telemetry — HR status, CMDB ownership, cloud logs — and hunts on the join, proving detections such as privileged activity from a terminated employee only become expressible once non-security data lands in the same schema.",Data Integration,Non-security data sources ingest successfully; correlation between security and business data produces meaningful results; expanded context enables new detection patterns,Cross-Source Correlation Rate,Qualitative pass,Inspect XSIAM UI / query XQL dataset for data integration; compare to expected baseline,XSIAM UI + XQL,Execute scenario-specific simulation for Disconnected Non-Security Data,Non-security data sources ingest successfully,pov-scripts/secops/th/tc-th-03.md,"TBD — confirm tenant state, agent version, Broker VM config",Table Stakes,PARITY,"XSIAM, XDR",,High,1 day,Active
SecOps,TC-TH-04,UC-TH,UCS-TH-02,Threat Hunting,Disconnected Non-Security Data,Demonstrate Security-First Marketplace dataset onboarding for expanded telemetry,"Onboards a dataset through a Marketplace content pack and compares landed records against the source system for field completeness and fidelity, establishing that new telemetry becomes huntable through prebuilt content instead of a bespoke parser project.",Marketplace Integration,Marketplace dataset onboarding completes successfully; onboarded data available for hunting queries; data quality matches source fidelity,Completeness %,Qualitative pass,Inspect XSIAM UI / query XQL dataset for marketplace integration; compare to expected baseline,XSIAM UI + XQL,Execute scenario-specific simulation for Disconnected Non-Security Data,Marketplace dataset onboarding completes successfully,pov-scripts/secops/th/tc-th-04.md,"TBD — confirm tenant state, agent version, Broker VM config",Table Stakes,PARITY,"XSIAM, XDR",,High,1 day,Active
SecOps,TC-TH-05,UC-TH,UCS-TH-03,Threat Hunting,High False Positive Rate in Hunting,Validate analytics engine and smart scoring reduce false positives in hunt results by >50%,"Baselines hunt output with and without behavioral profiling enabled and measures the drop in low-value hits, testing whether the analytics layer suppresses noise by learning what is normal for this specific environment rather than by tightening static thresholds.",Noise Reduction Effectiveness,EAL behavioral profiling measurably reduces false positives; remaining detections are high-confidence and actionable; detection fidelity validated against known network attack patterns,MTTD,Qualitative pass,Inspect XSIAM UI / query XQL dataset for noise reduction effectiveness; compare to expected baseline,XSIAM UI + XQL,Execute scenario-specific simulation for High False Positive Rate in Hunting,EAL behavioral profiling measurably reduces false positives,pov-scripts/secops/th/tc-th-05.md,"TBD — confirm tenant state, agent version, Broker VM config",AI-Native,PARITY,"XSIAM, XDR",,Medium,1–4hr,Active
SecOps,TC-TH-06,UC-TH,UCS-TH-04,Threat Hunting,Reactive Hunting / Lack of Threat Intel Integration,Validate TI management with scheduled IOC searches and Unit 42 feed integration,"Wires the first-party intelligence feed into scheduled indicator searches and validates the full IOC lifecycle — ingestion, matching, aging out — so hunts execute against current intelligence rather than an indicator list that quietly went stale months ago.",TI Management Workflow,Scheduled IOC searches execute on defined cadence; Unit 42 intelligence integration provides current enrichment; stale IOC management functions correctly,MTTD,Qualitative pass,Inspect XSIAM UI / query XQL dataset for ti management workflow; compare to expected baseline,XSIAM UI + XQL,Execute scenario-specific simulation for Reactive Hunting / Lack of Threat Intel Integration,Scheduled IOC searches execute on defined cadence,pov-scripts/secops/th/tc-th-06.md,"TBD — confirm tenant state, agent version, Broker VM config",Table Stakes,PARITY,"XSIAM, XDR",,Medium,1–4hr,Active
SecOps,TC-TH-07,UC-TH,UCS-TH-05,Threat Hunting,Lack of Integrated Forensics Tooling,Demonstrate forensics investigation and collection within hunting workflow,"Collects forensic artifacts from a suspect host inside the hunt itself, with no separate DFIR tool or desk-side visit, and verifies the evidence carries the integrity metadata required for chain of custody when the hunt escalates into a case.",Forensic Collection Completeness,Forensic investigation and evidence collection complete within hunting workflow; collected artifacts support chain-of-custody requirements; findings escalate to investigation when confirmed,Completeness %,Qualitative pass,Inspect XSIAM UI / query XQL dataset for forensic collection completeness; compare to expected baseline,XSIAM UI + XQL,Execute scenario-specific simulation for Lack of Integrated Forensics Tooling,Forensic investigation and evidence collection complete within hunting workflow,pov-scripts/secops/th/tc-th-07.md,"TBD — confirm tenant state, agent version, Broker VM config",Table Stakes,PARITY,"XSIAM, XDR",,Medium,1–4hr,Active
SecOps,TC-EDR-01,UC-EDR,UCS-EDR-01,Endpoint Detection & Response,Siloed EDR Policy Management,Validate unified endpoint policy creation across protection profiles (granular process-level),"Builds protection profiles down to individual process behaviors and confirms they deploy and enforce across the endpoint estate within the propagation SLA, with exceptions scoped narrowly enough that carving out one application does not silently weaken the surrounding policy.",Policy Enforcement,Protection policies deploy and enforce correctly across target endpoints; policy exceptions function without disabling broader protection; policy change propagation meets time SLA,SLA Compliance,Qualitative pass,Inspect XSIAM UI / query XQL dataset for policy enforcement; compare to expected baseline,XSIAM UI + XQL,Execute scenario-specific simulation for Siloed EDR Policy Management,Protection policies deploy and enforce correctly across target endpoints,pov-scripts/secops/edr/tc-edr-01.md,"TBD — confirm tenant state, agent version, Broker VM config",Table Stakes,PARITY,"XDR, XSIAM",,Medium,1–4hr,Active
SecOps,TC-EDR-02,UC-EDR,UCS-EDR-01,Endpoint Detection & Response,Siloed EDR Policy Management,Demonstrate asset-level policy assignment with granular protection profiles,"Assigns differentiated protection profiles to endpoint groups — servers, developer workstations, kiosks — and verifies each host resolves to the correct effective policy, so one console can hold conflicting hardening requirements without fragmenting into separate tenants.",Policy Enforcement,Protection policies deploy and enforce correctly across target endpoints; policy exceptions function without disabling broader protection; policy change propagation meets time SLA,SLA Compliance,Qualitative pass,Inspect XSIAM UI / query XQL dataset for policy enforcement; compare to expected baseline,XSIAM UI + XQL,Execute scenario-specific simulation for Siloed EDR Policy Management,Protection policies deploy and enforce correctly across target endpoints,pov-scripts/secops/edr/tc-edr-02.md,"TBD — confirm tenant state, agent version, Broker VM config",Table Stakes,PARITY,"XDR, XSIAM",,Medium,1–4hr,Active
SecOps,TC-EDR-03,UC-EDR,UCS-EDR-02,Endpoint Detection & Response,Malware Detection Gaps,"Validate multi-method malware detection (local sandbox, behavioral, static analysis)","Tests each detection engine independently — local static ML, behavioral threat protection, and sandbox verdict — against known malware families to establish which layer catches what, proving genuine defense in depth rather than a single signature path that collapses once evaded.",Detection Accuracy,Known malware families detected across all test methods; detection occurs pre-execution preventing compromise; false positive rate within threshold per detection method,False Positive Rate,Qualitative pass,Inspect XSIAM UI / query XQL dataset for detection accuracy; compare to expected baseline,XSIAM UI + XQL,Execute scenario-specific simulation for Malware Detection Gaps,Known malware families detected across all test methods,pov-scripts/secops/edr/tc-edr-03.md,"TBD — confirm tenant state, agent version, Broker VM config",Table Stakes,PARITY,"XDR, XSIAM",,Medium,1–4hr,Active
SecOps,TC-EDR-04,UC-EDR,UCS-EDR-02,Endpoint Detection & Response,Malware Detection Gaps,Demonstrate auto-containment triggers on confirmed malware execution,"Allows a confirmed malicious binary to execute and measures whether the agent terminates the process and isolates the host autonomously, with no console operator in the loop, while preserving the execution artifacts needed for the subsequent investigation.",Detection Accuracy,Known malware families detected across all test methods; detection occurs pre-execution preventing compromise; false positive rate within threshold per detection method,False Positive Rate,Qualitative pass,Inspect XSIAM UI / query XQL dataset for detection accuracy; compare to expected baseline,XSIAM UI + XQL,Execute scenario-specific simulation for Malware Detection Gaps,Known malware families detected across all test methods,pov-scripts/secops/edr/tc-edr-04.md,"TBD — confirm tenant state, agent version, Broker VM config",Table Stakes,PARITY,"XDR, XSIAM",,Medium,1–4hr,Active
SecOps,TC-EDR-05,UC-EDR,UCS-EDR-03,Endpoint Detection & Response,Lack of Endpoint Alert Context,Validate causality graph provides full process chain and causality owner attribution,"Walks the causality chain back from a detection to its causality group owner, confirming the graph retains process, file, network, and registry artifacts in correct temporal order — the difference between knowing a bad process ran and knowing what let it run.",Timeline Completeness,"Causality chain captures initial access through lateral movement; all artifact types (process, file, network, registry) present; timeline sequencing accurate within test scenario",Causality Chain Completeness,Qualitative pass,Inspect XSIAM UI / query XQL dataset for timeline completeness; compare to expected baseline,XSIAM Causality View (XQL: dataset=xdr_data),Execute scenario-specific simulation for Lack of Endpoint Alert Context,Causality chain captures initial access through lateral movement,pov-scripts/secops/edr/tc-edr-05.md,"TBD — confirm tenant state, agent version, Broker VM config",Platform,PARITY,"XDR, XSIAM",,Medium,1–4hr,Active
SecOps,TC-EDR-06,UC-EDR,UCS-EDR-04,Endpoint Detection & Response,Disparate Agent Upgrade Process,Demonstrate unified agent management with scheduled upgrades from single console,"Schedules agent upgrades across a mixed-OS fleet from one console and confirms endpoints stay protected and productive through the version change, with post-upgrade health telemetry proving no host silently dropped out of coverage.",Agent Lifecycle Management,Unified agent management with scheduled upgrades functions correctly; upgrade deployment non-disruptive to endpoint operations; agent health monitoring validates post-upgrade state,MTTD,Qualitative pass,Inspect XSIAM UI / query XQL dataset for agent lifecycle management; compare to expected baseline,XSIAM UI + XQL,Execute scenario-specific simulation for Disparate Agent Upgrade Process,Unified agent management with scheduled upgrades functions correctly,pov-scripts/secops/edr/tc-edr-06.md,"TBD — confirm tenant state, agent version, Broker VM config",Table Stakes,PARITY,"XDR, XSIAM",,Medium,1–4hr,Active
SecOps,TC-NDR-01,UC-NDR,UCS-NDR-01,Network Detection & Response,Siloed Network and Endpoint Data,Validate causality graph stitching correlates network events with endpoint process telemetry,"Traces a firewall-observed network session back to the exact endpoint process that opened it, closing the attribution gap that otherwise forces analysts to hand-pivot between a network tool and an endpoint tool on a shared five-tuple and timestamp.",Timeline Completeness,"Causality chain captures initial access through lateral movement; all artifact types (process, file, network, registry) present; timeline sequencing accurate within test scenario",Causality Chain Completeness,Qualitative pass,Inspect XSIAM UI / query XQL dataset for timeline completeness; compare to expected baseline,XSIAM Causality View (XQL: dataset=xdr_data) · NGFW log ingestion via Broker VM,"Execute network-based attack (beaconing, DNS tunneling, lateral movement via SMB/RDP)",Causality chain captures initial access through lateral movement,pov-scripts/secops/ndr/tc-ndr-01.md,"TBD — confirm tenant state, agent version, Broker VM config",Platform,MOAT,"XSIAM, NGFW",,Medium,1–4hr,Active
SecOps,TC-NDR-02,UC-NDR,UCS-NDR-01,Network Detection & Response,Siloed Network and Endpoint Data,Demonstrate SOC-specific network story context enriched with endpoint causality,"Presents a network-detected threat to the analyst already carrying its endpoint story — initiating process, user, parent lineage — so the alert arrives as an investigable incident rather than an IP address awaiting a manual host lookup in another console.",Timeline Completeness,"Causality chain captures initial access through lateral movement; all artifact types (process, file, network, registry) present; timeline sequencing accurate within test scenario",Causality Chain Completeness,Qualitative pass,Inspect XSIAM UI / query XQL dataset for timeline completeness; compare to expected baseline,XSIAM Causality View (XQL: dataset=xdr_data) · NGFW log ingestion via Broker VM,"Execute network-based attack (beaconing, DNS tunneling, lateral movement via SMB/RDP)",Causality chain captures initial access through lateral movement,pov-scripts/secops/ndr/tc-ndr-02.md,"TBD — confirm tenant state, agent version, Broker VM config",Ecosystem,MOAT,"XSIAM, NGFW",,Medium,1–4hr,Active
SecOps,TC-NDR-03,UC-NDR,UCS-NDR-02,Network Detection & Response,Network Traffic Noise / Alert Fatigue,Validate network analytics engine filters traffic noise via EAL,"Profiles normal traffic behavior per host and application, then measures how much routine network chatter the analytics layer withholds from the queue while still surfacing known attack patterns — the real test of whether volume reduction costs detection fidelity.",Noise Reduction Effectiveness,EAL behavioral profiling measurably reduces false positives; remaining detections are high-confidence and actionable; detection fidelity validated against known network attack patterns,MTTD,Qualitative pass,Inspect XSIAM UI / query XQL dataset for noise reduction effectiveness; compare to expected baseline,XSIAM UI + XQL · NGFW log ingestion via Broker VM,"Execute network-based attack (beaconing, DNS tunneling, lateral movement via SMB/RDP)",EAL behavioral profiling measurably reduces false positives,pov-scripts/secops/ndr/tc-ndr-03.md,"TBD — confirm tenant state, agent version, Broker VM config",Ecosystem,MOAT,"XSIAM, NGFW",,Medium,1–4hr,Active
SecOps,TC-NDR-04,UC-NDR,UCS-NDR-02,Network Detection & Response,Network Traffic Noise / Alert Fatigue,Demonstrate behavioral analytics thresholds for malicious egress and data exfil detection,"Runs low-and-slow exfiltration and beaconing alongside legitimate bulk uploads and backups, checking that behavioral thresholds separate them on periodicity, volume, and destination rather than firing on any transfer that crosses a static byte count.",Behavioral Threshold Accuracy,Behavioral analytics thresholds correctly differentiate malicious from benign egress patterns; threshold tuning reduces false positives; detection fidelity validated against test traffic,Detection Accuracy,Qualitative pass,Inspect XSIAM UI / query XQL dataset for behavioral threshold accuracy; compare to expected baseline,XSIAM UI + XQL · NGFW log ingestion via Broker VM,"Execute network-based attack (beaconing, DNS tunneling, lateral movement via SMB/RDP)",Behavioral analytics thresholds correctly differentiate malicious from benign egress patterns,pov-scripts/secops/ndr/tc-ndr-04.md,"TBD — confirm tenant state, agent version, Broker VM config",Ecosystem,MOAT,"XSIAM, NGFW",,Medium,1–4hr,Active
SecOps,TC-NDR-05,UC-NDR,UCS-NDR-03,Network Detection & Response,3rd Party Network Sources Disconnected from SOC,Validate Broker VM normalization of 3rd-party network data into unified schema,"Ingests a third-party network sensor's logs through the Broker VM and confirms they normalize into the same schema as native telemetry, meaning the customer's existing network estate becomes correlatable evidence rather than a stranded feed nobody queries.",Data Normalization,Broker VM normalization of 3rd-party network data produces unified data model; normalized data correlates with native telemetry; query performance unaffected by normalization,Cross-Source Correlation Rate,Qualitative pass,Inspect XSIAM UI / query XQL dataset for data normalization; compare to expected baseline,XSIAM UI + XQL · NGFW log ingestion via Broker VM,"Execute network-based attack (beaconing, DNS tunneling, lateral movement via SMB/RDP)",Broker VM normalization of 3rd-party network data produces unified data model,pov-scripts/secops/ndr/tc-ndr-05.md,"TBD — confirm tenant state, agent version, Broker VM config",Ecosystem,MOAT,"XSIAM, NGFW",,Medium,1–4hr,Active
SecOps,TC-NDR-06,UC-NDR,UCS-NDR-04,Network Detection & Response,Complex Network and Endpoint Policy,Demonstrate EDL policy management and enforcement,Publishes indicators discovered in the SOC to firewall External Dynamic Lists and confirms enforcement takes effect at the network edge — closing the loop where a detection on one endpoint becomes a block for the entire estate without a change ticket.,Policy Enforcement,Protection policies deploy and enforce correctly across target endpoints; policy exceptions function without disabling broader protection; policy change propagation meets time SLA,SLA Compliance,Qualitative pass,Inspect XSIAM UI / query XQL dataset for policy enforcement; compare to expected baseline,XSIAM UI + XQL · NGFW log ingestion via Broker VM,"Execute network-based attack (beaconing, DNS tunneling, lateral movement via SMB/RDP)",Protection policies deploy and enforce correctly across target endpoints,pov-scripts/secops/ndr/tc-ndr-06.md,"TBD — confirm tenant state, agent version, Broker VM config",Ecosystem,MOAT,"XSIAM, NGFW",,Medium,1–4hr,Active
