priority,tc_id,ucs_id,uc_id,use_case,test_case_title,validation_class,detection_id,detection_type,target_dataset,pov_scenario_id,mitre_techniques,base_platform,required_addon,authoring_gap
P1,TC-ITPA-01,UCS-ITPA-01,UC-ITPA,IT Process Automation,Demonstrate cross-functional automation between SOC and IT ops (ServiceNow + containment),DET,DET-ITPA-01,BIOC,xdr_data,POV-SC-050,TBD,Cortex XSIAM,Extended Compute Units,NO MITRE MAPPING · NO MEASURABLE THRESHOLD
P1,TC-MSIAM-01,UCS-MSIAM-01,UC-MSIAM,Managed XSIAM (MSIAM),"Validate MSIAM service onboards, tunes, and operates XSIAM to defined operational metrics",DET,DET-MSIAM-01,BIOC,xdr_data,POV-SC-053,TBD,Cortex XSIAM,Enterprise Runtime Security (XDR) · Host Insights · Forensics · Extended Threat Hunting · Extended Threat Intelligence (XTI) · Extended Compute Units,NO MITRE MAPPING · NO MEASURABLE THRESHOLD
P1,TC-MTH-01,UCS-MTH-01,UC-MTH,Managed Threat Hunting (MTH),Validate Unit 42 MTH delivers proactive hunt reports with actionable findings on cadence,HNT,HNT-MTH-01,Saved XQL Hunt Query,xdr_data,POV-SC-013,TBD,Cortex XSIAM,Extended Threat Hunting,NO MITRE MAPPING · NO MEASURABLE THRESHOLD
P1,TC-NDR-01,UCS-NDR-01,UC-NDR,Network Detection & Response,Validate causality graph stitching correlates network events with endpoint process telemetry,DET,DET-NDR-01,Correlation Rule (XQL),xdr_data,POV-SC-008,TBD,Cortex XSIAM,Data Ingestion — Analytics tier,NO MITRE MAPPING · NO MEASURABLE THRESHOLD
P1,TC-NDR-02,UCS-NDR-01,UC-NDR,Network Detection & Response,Demonstrate SOC-specific network story context enriched with endpoint causality,DET,DET-NDR-02,Correlation Rule (XQL),xdr_data,POV-SC-008,TBD,Cortex XSIAM,Data Ingestion — Analytics tier,NO MITRE MAPPING · NO MEASURABLE THRESHOLD
P1,TC-NDR-03,UCS-NDR-02,UC-NDR,Network Detection & Response,Validate network analytics engine filters traffic noise via EAL,DET,DET-NDR-03,Analytics BIOC,panw_ngfw_traffic_raw · panw_ngfw_threat_raw,POV-SC-008,TBD,Cortex XSIAM,Data Ingestion — Analytics tier,NO MITRE MAPPING · NO MEASURABLE THRESHOLD
P1,TC-NDR-04,UCS-NDR-02,UC-NDR,Network Detection & Response,Demonstrate behavioral analytics thresholds for malicious egress and data exfil detection,DET,DET-NDR-04,Analytics BIOC,panw_ngfw_traffic_raw · panw_ngfw_threat_raw,POV-SC-008,TBD,Cortex XSIAM,Data Ingestion — Analytics tier,NO MITRE MAPPING · NO MEASURABLE THRESHOLD
P1,TC-NDR-06,UCS-NDR-04,UC-NDR,Network Detection & Response,Demonstrate EDL policy management and enforcement,DET,DET-NDR-05,BIOC,panw_ngfw_traffic_raw · panw_ngfw_threat_raw,POV-SC-008,TBD,Cortex XSIAM,Data Ingestion — Analytics tier,NO MITRE MAPPING · NO MEASURABLE THRESHOLD
P1,TC-SOAR-01,UCS-SOAR-01,UC-SOAR,SOC Process Automation,"Validate XSOAR playbook automates enrichment, triage, and notification for top 5 alert types",DET,DET-SOAR-01,BIOC,xdr_data,POV-SC-005,TBD,Cortex XSIAM,Extended Compute Units,GENERIC SCENARIO (shared by 10 TCs) — needs purpose-built payload · NO MITRE MAPPING · NO MEASURABLE THRESHOLD
P1,TC-SOAR-02,UCS-SOAR-01,UC-SOAR,SOC Process Automation,Demonstrate XSIAM native automation replaces standalone SOAR for common playbooks,DET,DET-SOAR-02,BIOC,xdr_data,POV-SC-005,TBD,Cortex XSIAM,Extended Compute Units,GENERIC SCENARIO (shared by 10 TCs) — needs purpose-built payload · NO MITRE MAPPING · NO MEASURABLE THRESHOLD
P1,TC-SOAR-03,UCS-SOAR-02,UC-SOAR,SOC Process Automation,Validate bidirectional integrations with top 5 customer tools,DET,DET-SOAR-03,BIOC,xdr_data,POV-SC-005,TBD,Cortex XSIAM,Extended Compute Units,GENERIC SCENARIO (shared by 10 TCs) — needs purpose-built payload · NO MITRE MAPPING · NO MEASURABLE THRESHOLD
P1,TC-SOT-01,UCS-SOT-01,UC-SOT,Security Operations Transformation,"Validate customer alerting strategy alignment: rule tuning, threshold config, escalation paths",DET,DET-SOT-01,BIOC,xdr_data,POV-SC-057,TBD,Cortex XSIAM,Data Ingestion — Analytics tier · Extended Compute Units,NO MITRE MAPPING · NO MEASURABLE THRESHOLD
P1,TC-SOT-02,UCS-SOT-01,UC-SOT,Security Operations Transformation,Demonstrate triage-as-validation workflow with auto-triage and analyst override,DET,DET-SOT-02,BIOC,incidents,POV-SC-006,T1021 T1059,Cortex XSIAM,Data Ingestion — Analytics tier · Extended Compute Units,GENERIC SCENARIO (shared by 8 TCs) — needs purpose-built payload
P1,TC-SOT-03,UCS-SOT-02,UC-SOT,Security Operations Transformation,Demonstrate lifecycle management: detection tuning → enrichment → response → feedback loop,DET,DET-SOT-03,BIOC,xdr_data,POV-SC-058,TBD,Cortex XSIAM,Data Ingestion — Analytics tier · Extended Compute Units,NO MITRE MAPPING · NO MEASURABLE THRESHOLD
P1,TC-SSCAN-01,UCS-SSCAN-03,UC-SSCAN,Secrets Security,"Validate Secret Detection Accuracy — Planted secrets detected in code, configuration, and IaC files with accurate type classification",DET,DET-SSCAN-01,Cloud Runtime Policy (CDR),cloud_audit_logs · container_events,POV-SC-002,TBD,Cortex Cloud,Application Security,GENERIC SCENARIO (shared by 14 TCs) — needs purpose-built payload · NO MITRE MAPPING · NO MEASURABLE THRESHOLD
P1,TC-TH-01,UCS-TH-01,UC-TH,Threat Hunting,Validate XQL query execution for hypothesis-driven hunting across full data lake,HNT,HNT-TH-01,Saved XQL Hunt Query,xdr_data,POV-SC-013,TBD,Cortex XSIAM · Cortex XDR,Extended Threat Hunting,NO MITRE MAPPING · NO MEASURABLE THRESHOLD
P1,TC-TIM-02,UCS-TIM-01,UC-TIM,Threat Intelligence Management,Demonstrate automated IOC-to-EDL push for real-time blocking at NGFW,DET,DET-TIM-01,BIOC,xdr_data,POV-SC-026,TBD,Cortex XSIAM,Threat Intelligence Management · Extended Threat Intelligence (XTI),NO MITRE MAPPING · NO MEASURABLE THRESHOLD
P1,TC-WAAS-03,UCS-WAAS-03,UC-WAAS,Web API & Application Security,Validate Web Application Threat Detection — OWASP Top 10 web attacks detected with accurate classification,DET,DET-WAAS-01,Cloud Runtime Policy (CDR),cloud_audit_logs · container_events,POV-SC-002,TBD,Cortex Cloud,Cloud Runtime Security,GENERIC SCENARIO (shared by 14 TCs) — needs purpose-built payload · NO MITRE MAPPING · NO MEASURABLE THRESHOLD
P1,TC-WAAS-04,UCS-WAAS-04,UC-WAAS,Web API & Application Security,Validate Agent-Based Threat Detection (Runtime) — Cortex Agent detects web application attacks at runtime (in-process),DET,DET-WAAS-02,Cloud Runtime Policy (CDR),cloud_audit_logs · container_events,POV-SC-002,TBD,Cortex Cloud,Cloud Runtime Security,GENERIC SCENARIO (shared by 14 TCs) — needs purpose-built payload · NO MITRE MAPPING · NO MEASURABLE THRESHOLD
P1,TC-XTI-03,UCS-XTI-02,UC-XTI,Extended Threat Intelligence (XTI),Validate automated intel-to-EDL push blocks a live indicator at the NGFW,DET,DET-XTI-02,IOC / Indicator Rule,panw_ngfw_traffic_raw · panw_ngfw_threat_raw,POV-SC-075,TBD,Cortex XSIAM,Extended Threat Intelligence (XTI) · Threat Intelligence Management,NO MITRE MAPPING
P1,TC-XTI-05,UCS-XTI-03,UC-XTI,Extended Threat Intelligence (XTI),Validate retro-hunt automatically sweeps historical telemetry when new intel lands,HNT,HNT-XTI-04,Saved XQL Hunt Query,xdr_data,POV-SC-077,TBD,Cortex XSIAM,Extended Threat Intelligence (XTI) · Threat Intelligence Management,NO MITRE MAPPING
P1,TC-XTI-07,UCS-XTI-04,UC-XTI,Extended Threat Intelligence (XTI),Validate automatic attribution and campaign context attaches to a live case,DET,DET-XTI-05,Correlation Rule (XQL),xdr_data,POV-SC-079,TBD,Cortex XSIAM,Extended Threat Intelligence (XTI) · Threat Intelligence Management,NO MITRE MAPPING
P2,TC-APB-10,UCS-APB-05,UC-APB,Autonomous Playbooks (AgentiX),Demonstrate agent orchestration across SOC and IT tooling in one workflow,DET,DET-APB-02,BIOC,xdr_data,POV-SC-092,TBD,Cortex XSIAM,Extended Compute Units,NO MITRE MAPPING
P2,TC-CIEM-03,UCS-CIEM-03,UC-CIEM,Cloud Infrastructure Entitlement Management (CIEM),"Validate Privileged Permission Detection — Privilege escalation paths identified (iam:PassRole, sts:AssumeRole chains)",DET,DET-CIEM-01,Cloud Runtime Policy (CDR),cloud_audit_logs · container_events,POV-SC-002,TBD,Cortex Cloud,Cloud Posture Security,GENERIC SCENARIO (shared by 14 TCs) — needs purpose-built payload · NO MITRE MAPPING · NO MEASURABLE THRESHOLD
P2,TC-CVM-01,UCS-CVM-01,UC-CVM,Vulnerability Management,"Validate Workload Vulnerability Detection — Known CVEs detected across VMs, containers, and serverless with accurate CVSS scoring",DET,DET-CVM-01,Cloud Runtime Policy (CDR),cloud_audit_logs · container_events,POV-SC-012,TBD,Cortex Cloud · Cortex XSIAM,Cloud Posture Security · Host Insights · Exposure Management,NO MITRE MAPPING · NO MEASURABLE THRESHOLD
P2,TC-DSPM-04,UCS-DSPM-04,UC-DSPM,Data Security Posture Management (DSPM),Validate Data Detection & Response (DDR) — Anomalous data access patterns detected in near-real-time,DET,DET-DSPM-01,Cloud Runtime Policy (CDR),cloud_audit_logs · container_events,POV-SC-002,TBD,Cortex Cloud,Cloud Posture Security · Cortex Data Security,GENERIC SCENARIO (shared by 14 TCs) — needs purpose-built payload · NO MITRE MAPPING · NO MEASURABLE THRESHOLD
P2,TC-SCA-01,UCS-SCA-01,UC-SCA,Software Composition Analysis,"Validate Dependency Vulnerability Detection — Known CVEs detected in direct and transitive dependencies across npm, pip, Maven, Go, NuGet",DET,DET-SCA-01,Cloud Runtime Policy (CDR),cloud_audit_logs · container_events,POV-SC-012,TBD,Cortex Cloud,Application Security,NO MITRE MAPPING · NO MEASURABLE THRESHOLD
P2,TC-SIEM-02,UCS-SIEM-02,UC-SIEM,Log Management & Compliance,Validate Host Insights module provides vulnerability context enriched into endpoint incidents,DET,DET-SIEM-01,BIOC,xdr_data,POV-SC-049,TBD,Cortex XSIAM,Data Ingestion — Cortex Data Lake tier · Data Retention · GB Event Forwarding,NO MITRE MAPPING · NO MEASURABLE THRESHOLD
P2,TC-XTI-02,UCS-XTI-01,UC-XTI,Extended Threat Intelligence (XTI),Demonstrate confidence scoring suppresses low-fidelity intel before it reaches detection,DET,DET-XTI-01,IOC / Indicator Rule,xdr_data,POV-SC-074,TBD,Cortex XSIAM,Extended Threat Intelligence (XTI) · Threat Intelligence Management,NO MITRE MAPPING
P2,TC-XTI-04,UCS-XTI-02,UC-XTI,Extended Threat Intelligence (XTI),Demonstrate enforcement rollback when an indicator is withdrawn or proves false-positive,DET,DET-XTI-03,IOC / Indicator Rule,panw_ngfw_traffic_raw · panw_ngfw_threat_raw,POV-SC-076,TBD,Cortex XSIAM,Extended Threat Intelligence (XTI) · Threat Intelligence Management,NO MITRE MAPPING
P2,TC-XTI-08,UCS-XTI-04,UC-XTI,Extended Threat Intelligence (XTI),Demonstrate intel-driven detection tuning from investigation outcomes,DET,DET-XTI-06,Correlation Rule (XQL),xdr_data,POV-SC-080,TBD,Cortex XSIAM,Extended Threat Intelligence (XTI) · Threat Intelligence Management,NO MITRE MAPPING
P2,TC-XTI-10,UCS-XTI-06,UC-XTI,Extended Threat Intelligence (XTI),Demonstrate bidirectional ISAC/community intel exchange with sanitization controls,DET,DET-XTI-07,IOC / Indicator Rule,xdr_data,POV-SC-082,TBD,Cortex XSIAM,Extended Threat Intelligence (XTI) · Threat Intelligence Management,NO MITRE MAPPING
P3,TC-AES-01,UCS-AES-01,UC-AES,Advanced Email Security,"Validate AI-driven phishing detection identifies credential harvesting, brand impersonation, and zero-day phishing URLs across email platforms",DET,DET-AES-01,BIOC,xdr_data,POV-SC-001,T1021 T1059 T1078 T1566,Cortex XSIAM,Advanced Email Security,GENERIC SCENARIO (shared by 21 TCs) — needs purpose-built payload · EXPECTED SIGNAL == SUCCESS CRITERIA (untested distinction)
P3,TC-AES-02,UCS-AES-01,UC-AES,Advanced Email Security,Demonstrate cross-signal correlation links phishing emails to downstream credential compromise and lateral movement indicators,DET,DET-AES-02,Correlation Rule (XQL),xdr_data,POV-SC-001,T1021 T1059 T1078 T1566,Cortex XSIAM,Advanced Email Security,GENERIC SCENARIO (shared by 21 TCs) — needs purpose-built payload · EXPECTED SIGNAL == SUCCESS CRITERIA (untested distinction)
P3,TC-AES-03,UCS-AES-02,UC-AES,Advanced Email Security,"Validate BEC detection identifies executive impersonation, vendor invoice fraud, and payment redirect attempts using behavioral and content analysis",DET,DET-AES-03,Analytics BIOC,xdr_data,POV-SC-028,TBD,Cortex XSIAM,Advanced Email Security,NO MITRE MAPPING · EXPECTED SIGNAL == SUCCESS CRITERIA (untested distinction)
P3,TC-AES-05,UCS-AES-03,UC-AES,Advanced Email Security,"Validate detection of malicious attachments including macro-laden documents, encrypted archives with malware, and embedded exploit payloads",DET,DET-AES-04,BIOC,xdr_data,POV-SC-063,TBD,Cortex XSIAM,Advanced Email Security,NO MITRE MAPPING · EXPECTED SIGNAL == SUCCESS CRITERIA (untested distinction)
P3,TC-AES-06,UCS-AES-03,UC-AES,Advanced Email Security,"Demonstrate link-based payload detection identifies malicious URLs, drive-by downloads, and delayed weaponization (links that become malicious post-delivery)",DET,DET-AES-05,BIOC,xdr_data,POV-SC-064,TBD,Cortex XSIAM,Advanced Email Security,NO MITRE MAPPING · EXPECTED SIGNAL == SUCCESS CRITERIA (untested distinction)
P3,TC-AES-07,UCS-AES-04,UC-AES,Advanced Email Security,"Validate detection of sensitive data exfiltration via email including auto-forwarding rules, BCC to personal accounts, and attachment-based data theft",DET,DET-AES-06,Analytics BIOC,xdr_data,POV-SC-065,TBD,Cortex XSIAM,Advanced Email Security,NO MITRE MAPPING · EXPECTED SIGNAL == SUCCESS CRITERIA (untested distinction)
P3,TC-AES-08,UCS-AES-05,UC-AES,Advanced Email Security,Validate AgentiX Email Investigation Agent performs full-spectrum email analysis from detection through containment across all email platforms,DET,DET-AES-07,BIOC,xdr_data,POV-SC-006,T1021 T1059,Cortex XSIAM,Advanced Email Security,GENERIC SCENARIO (shared by 8 TCs) — needs purpose-built payload
P3,TC-AES-09,UCS-AES-05,UC-AES,Advanced Email Security,Demonstrate user-reported phishing workflow with automated analysis and feedback loop to reduce repeat reporting of known-good emails,DET,DET-AES-08,BIOC,xdr_data,POV-SC-005,TBD,Cortex XSIAM,Advanced Email Security,GENERIC SCENARIO (shared by 10 TCs) — needs purpose-built payload · NO MITRE MAPPING · EXPECTED SIGNAL == SUCCESS CRITERIA (untested distinction)
P3,TC-AGTX-01,UCS-AGTX-01,UC-AGTX,Agentic Automation (AgentiX),"Validate AgentiX autonomously selects, chains, and executes multi-step playbooks across 1,100+ integrations based on incident context",DET,DET-AGTX-01,Correlation Rule (XQL),incidents,POV-SC-001,T1021 T1059 T1078 T1566,Cortex XSIAM,Extended Compute Units,GENERIC SCENARIO (shared by 21 TCs) — needs purpose-built payload · EXPECTED SIGNAL == SUCCESS CRITERIA (untested distinction)
P3,TC-AGTX-03,UCS-AGTX-02,UC-AGTX,Agentic Automation (AgentiX),"Validate AgentiX AI-driven triage auto-classifies, prioritizes, and enriches incidents using contextual understanding rather than static rules",DET,DET-AGTX-02,BIOC,xdr_data,POV-SC-006,T1021 T1059,Cortex XSIAM,Extended Compute Units,GENERIC SCENARIO (shared by 8 TCs) — needs purpose-built payload · EXPECTED SIGNAL == SUCCESS CRITERIA (untested distinction)
P3,TC-AGTX-04,UCS-AGTX-02,UC-AGTX,Agentic Automation (AgentiX),"Demonstrate Threat Intelligence Agent auto-enriches IOCs with multi-source TI, related campaigns, and adversary TTP mapping",DET,DET-AGTX-03,Correlation Rule (XQL),xdr_data,POV-SC-066,TBD,Cortex XSIAM,Extended Compute Units,NO MITRE MAPPING
P3,TC-AGTX-05,UCS-AGTX-03,UC-AGTX,Agentic Automation (AgentiX),"Validate AgentiX coordinates response actions across endpoint, network, identity, cloud, and email domains in a single automated workflow",DET,DET-AGTX-04,BIOC,xdr_data,POV-SC-001,T1021 T1059 T1078 T1566,Cortex XSIAM,Extended Compute Units,GENERIC SCENARIO (shared by 21 TCs) — needs purpose-built payload · EXPECTED SIGNAL == SUCCESS CRITERIA (untested distinction)
P3,TC-AGTX-06,UCS-AGTX-03,UC-AGTX,Agentic Automation (AgentiX),Demonstrate Endpoint Investigation Agent delivers rapid forensics collection and containment across multi-vendor EDR environments,DET,DET-AGTX-05,BIOC,xdr_data,POV-SC-006,T1021 T1059,Cortex XSIAM,Extended Compute Units,GENERIC SCENARIO (shared by 8 TCs) — needs purpose-built payload
P3,TC-AGTX-07,UCS-AGTX-04,UC-AGTX,Agentic Automation (AgentiX),Validate enterprise-grade guardrails prevent AI agents from executing unauthorized or high-risk actions without human approval,DET,DET-AGTX-06,BIOC,xdr_data,POV-SC-029,TBD,Cortex XSIAM,Extended Compute Units,NO MITRE MAPPING
P3,TC-AGTX-09,UCS-AGTX-05,UC-AGTX,Agentic Automation (AgentiX),"Validate natural language investigation assistant enables analysts to query across data lake, build timelines, and generate reports conversationally",DET,DET-AGTX-07,BIOC,xdr_data,POV-SC-001,T1021 T1059 T1078 T1566,Cortex XSIAM,Extended Compute Units,GENERIC SCENARIO (shared by 21 TCs) — needs purpose-built payload
P3,TC-AGTX-10,UCS-AGTX-05,UC-AGTX,Agentic Automation (AgentiX),Demonstrate Copilot assists junior analysts in performing senior-level investigations by providing guided investigation workflows and contextual recommendations,DET,DET-AGTX-08,BIOC,xdr_data,POV-SC-067,TBD,Cortex XSIAM,Extended Compute Units,NO MITRE MAPPING · EXPECTED SIGNAL == SUCCESS CRITERIA (untested distinction)
P3,TC-AGTX-11,UCS-AGTX-06,UC-AGTX,Agentic Automation (AgentiX),Validate Model Context Protocol (MCP) support enables AgentiX to integrate with custom and third-party AI tools without custom code,DET,DET-AGTX-09,BIOC,xdr_data,POV-SC-068,TBD,Cortex XSIAM,Extended Compute Units,NO MITRE MAPPING
P3,TC-AGTX-12,UCS-AGTX-06,UC-AGTX,Agentic Automation (AgentiX),Demonstrate extensible agent framework allows customers to build custom security agents using AgentiX SDK and existing playbook library,DET,DET-AGTX-10,BIOC,xdr_data,POV-SC-005,TBD,Cortex XSIAM,Extended Compute Units,GENERIC SCENARIO (shared by 10 TCs) — needs purpose-built payload · NO MITRE MAPPING
P3,TC-AIRS-01,UCS-AIRS-01,UC-AIRS,AI Runtime Security (Prisma AIRS),"Validate deep architectural analysis detects data poisoning, backdoors, and malicious code hidden within model layers that traditional scanners miss",DET,DET-AIRS-01,Cloud Runtime Policy (CDR),cloud_audit_logs · container_events,POV-SC-030,TBD,Cortex Cloud,Cloud Posture Security,NO MITRE MAPPING
P3,TC-AIRS-07,UCS-AIRS-04,UC-AIRS,AI Runtime Security (Prisma AIRS),"Validate real-time detection and blocking of prompt injection, jailbreak attempts, and malicious agent behaviors in production AI systems",DET,DET-AIRS-02,Cloud Runtime Policy (CDR),cloud_audit_logs · container_events,POV-SC-033,TBD,Cortex Cloud,Cloud Posture Security,NO MITRE MAPPING · EXPECTED SIGNAL == SUCCESS CRITERIA (untested distinction)
P3,TC-AIRS-08,UCS-AIRS-04,UC-AIRS,AI Runtime Security (Prisma AIRS),Demonstrate AI runtime monitoring detects anomalous model behavior indicating compromise or drift from expected operational parameters,DET,DET-AIRS-03,Cloud Runtime Policy (CDR),cloud_audit_logs · container_events,POV-SC-033,TBD,Cortex Cloud,Cloud Posture Security,NO MITRE MAPPING
P3,TC-CC2-05,UCS-CC2-03,UC-CC2,Cortex Cloud 2.0 Enhancements,Validate performance-optimized CDR agent deploys with one click and provides immediate cloud threat detection without manual configuration,DET,DET-CC2-01,Cloud Runtime Policy (CDR),cloud_audit_logs · container_events,POV-SC-002,TBD,Cortex Cloud,Cloud Posture Security · Cloud Runtime Security,GENERIC SCENARIO (shared by 14 TCs) — needs purpose-built payload · NO MITRE MAPPING
P3,TC-CC2-06,UCS-CC2-03,UC-CC2,Cortex Cloud 2.0 Enhancements,Demonstrate CDR agent performance optimization reduces telemetry noise while maintaining detection fidelity for cloud-native threats,DET,DET-CC2-02,Cloud Runtime Policy (CDR),cloud_audit_logs · container_events,POV-SC-002,TBD,Cortex Cloud,Cloud Posture Security · Cloud Runtime Security,GENERIC SCENARIO (shared by 14 TCs) — needs purpose-built payload · NO MITRE MAPPING
P3,TC-CITH-02,UCS-CITH-02,UC-CITH,Accelerated Investigations & Threat Hunting,"Validate Cloud Malware Detection & Response — Known and unknown malware detected on cloud workloads via static analysis, behavioral detection, and WildFire…",DET,DET-CITH-01,Cloud Runtime Policy (CDR),cloud_audit_logs · container_events,POV-SC-002,TBD,Cortex Cloud · Cortex XSIAM,Cloud Runtime Security · Forensics · Extended Threat Hunting,GENERIC SCENARIO (shared by 14 TCs) — needs purpose-built payload · NO MITRE MAPPING · NO MEASURABLE THRESHOLD
P3,TC-CITH-03,UCS-CITH-03,UC-CITH,Accelerated Investigations & Threat Hunting,Validate Behavioral IOC Detection (BIOC) — BIOC alerts include full causality context,DET,DET-CITH-02,Cloud Runtime Policy (CDR),cloud_audit_logs · container_events,POV-SC-002,TBD,Cortex Cloud · Cortex XSIAM,Cloud Runtime Security · Forensics · Extended Threat Hunting,GENERIC SCENARIO (shared by 14 TCs) — needs purpose-built payload · NO MITRE MAPPING · NO MEASURABLE THRESHOLD
P3,TC-CITH-04,UCS-CITH-04,UC-CITH,Accelerated Investigations & Threat Hunting,Validate AI Runtime Security Analytics — AI-powered runtime analytics detect anomalous cloud workload behavior without signature dependency,DET,DET-CITH-03,Cloud Runtime Policy (CDR),cloud_audit_logs · container_events,POV-SC-002,TBD,Cortex Cloud · Cortex XSIAM,Cloud Runtime Security · Forensics · Extended Threat Hunting,GENERIC SCENARIO (shared by 14 TCs) — needs purpose-built payload · NO MITRE MAPPING · NO MEASURABLE THRESHOLD
P3,TC-CITH-11,UCS-CITH-11,UC-CITH,Accelerated Investigations & Threat Hunting,Validate Detection Rule Accuracy — false positive rate <5% on production-representative test data,DET,DET-CITH-05,Cloud Runtime Policy (CDR),cloud_audit_logs · container_events,POV-SC-002,TBD,Cortex Cloud · Cortex XSIAM,Cloud Runtime Security · Forensics · Extended Threat Hunting,GENERIC SCENARIO (shared by 14 TCs) — needs purpose-built payload · NO MITRE MAPPING
P3,TC-DLP-01,UCS-DLP-01,UC-DLP,Data Loss Prevention (DLP),"Validate DLP detects sensitive data (PII/PCI/PHI) exfiltration attempts across email, web upload, and USB channels in real time",DET,DET-DLP-01,BIOC,xdr_data,POV-SC-059,TBD,Cortex XSIAM · Cortex XDR,DLP · Enterprise Runtime Security (XDR),NO MITRE MAPPING · EXPECTED SIGNAL == SUCCESS CRITERIA (untested distinction)
P3,TC-DLP-02,UCS-DLP-01,UC-DLP,Data Loss Prevention (DLP),Demonstrate cross-channel correlation identifies coordinated data staging across endpoint and network,DET,DET-DLP-02,Correlation Rule (XQL),xdr_data,POV-SC-001,T1021 T1059 T1078 T1566,Cortex XSIAM · Cortex XDR,DLP · Enterprise Runtime Security (XDR),GENERIC SCENARIO (shared by 21 TCs) — needs purpose-built payload · EXPECTED SIGNAL == SUCCESS CRITERIA (untested distinction)
P3,TC-DLP-03,UCS-DLP-02,UC-DLP,Data Loss Prevention (DLP),"Validate DLP policy creation and enforcement across endpoint, network, and SaaS data channels from unified console",DET,DET-DLP-03,BIOC,xdr_data,POV-SC-001,T1021 T1059 T1078 T1566,Cortex XSIAM · Cortex XDR,DLP · Enterprise Runtime Security (XDR),GENERIC SCENARIO (shared by 21 TCs) — needs purpose-built payload
