validation_class,tc_id,ucs_id,uc_id,use_case,scenario,test_case_title,tc_sheet,differentiation_tier,moat_classification,priority,detection_id,detection_type,target_dataset,pov_scenario_id,pov_scenario_payload,mitre_techniques,expected_signal,primary_kpi,threshold,detection_source,base_platform,required_addon,content_status,authoring_gap
DET,TC-IR-10,UCS-IR-05,UC-IR,Incident Response,Poor Prioritization / Risk Misalignment,Demonstrate case starring and auto-prioritization workflow for VIP assets,SecOps,PARITY,Table Stakes,P3,DET-IR-09,BIOC,xdr_data,POV-SC-017,Execute scenario-specific simulation for Poor Prioritization / Risk Misalignment,TBD,Case starring and auto-prioritization function correctly,MTTD,Qualitative pass,XSIAM UI + XQL,Cortex XSIAM · Cortex XDR,Forensics · Extended Compute Units,TO AUTHOR,NO MITRE MAPPING · NO MEASURABLE THRESHOLD
DET,TC-IR-11,UCS-IR-06,UC-IR,Incident Response,Repetitive Manual Workflows,Validate auto-enrichment populates incident context without analyst action,SecOps,PARITY,Table Stakes,P3,DET-IR-10,BIOC,xdr_data,POV-SC-018,Execute scenario-specific simulation for Repetitive Manual Workflows,TBD,"Automated enrichment adds TI, reputation, and asset context pre-analyst review",Coverage %,Qualitative pass,XSIAM UI + XQL,Cortex XSIAM · Cortex XDR,Forensics · Extended Compute Units,TO AUTHOR,NO MITRE MAPPING · NO MEASURABLE THRESHOLD
DET,TC-IR-12,UCS-IR-06,UC-IR,Incident Response,Repetitive Manual Workflows,Demonstrate incident synthesis generates executive summary from correlated alert data,SecOps,PARITY,Table Stakes,P3,DET-IR-11,Correlation Rule (XQL),xdr_data,POV-SC-018,Execute scenario-specific simulation for Repetitive Manual Workflows,TBD,Incident synthesis generates accurate executive summary,Detection Accuracy,Qualitative pass,XSIAM UI + XQL,Cortex XSIAM · Cortex XDR,Forensics · Extended Compute Units,TO AUTHOR,NO MITRE MAPPING · NO MEASURABLE THRESHOLD
HNT,TC-TH-01,UCS-TH-01,UC-TH,Threat Hunting,Manual / Ad-hoc Hunting Processes,Validate XQL query execution for hypothesis-driven hunting across full data lake,SecOps,MOAT,Platform,P1,HNT-TH-01,Saved XQL Hunt Query,xdr_data,POV-SC-013,"Pre-seeded hunt dataset with 20–30 known IOCs across credential access, persistence, exfiltration",TBD,XQL queries return accurate results across full data lake,Detection Accuracy,Qualitative pass,XQL query engine (/public_api/v1/xql/start_xql_query),Cortex XSIAM · Cortex XDR,Extended Threat Hunting,TO AUTHOR,NO MITRE MAPPING · NO MEASURABLE THRESHOLD
DET,TC-TH-02,UCS-TH-01,UC-TH,Threat Hunting,Manual / Ad-hoc Hunting Processes,Demonstrate automated hunting via scheduled correlation searches with IOC feeds,SecOps,PARITY,Table Stakes,P3,DET-TH-02,Correlation Rule (XQL),xdr_data,POV-SC-005,Trigger incident matching automated playbook conditions; measure playbook completion,TBD,Scheduled queries execute on defined cadence,Automation Rate,Qualitative pass,XSIAM UI + XQL,Cortex XSIAM · Cortex XDR,Extended Threat Hunting,TO AUTHOR,GENERIC SCENARIO (shared by 10 TCs) — needs purpose-built payload · NO MITRE MAPPING · NO MEASURABLE THRESHOLD
DET,TC-TH-03,UCS-TH-02,UC-TH,Threat Hunting,Disconnected Non-Security Data,"Validate XDR dataset ingestion of non-security sources (HR, asset mgmt, cloud logs)",SecOps,PARITY,Table Stakes,P3,DET-TH-03,BIOC,xdr_data,POV-SC-019,Execute scenario-specific simulation for Disconnected Non-Security Data,TBD,Non-security data sources ingest successfully,Cross-Source Correlation Rate,Qualitative pass,XSIAM UI + XQL,Cortex XSIAM · Cortex XDR,Extended Threat Hunting,TO AUTHOR,NO MITRE MAPPING · NO MEASURABLE THRESHOLD
PLT,TC-TH-04,UCS-TH-02,UC-TH,Threat Hunting,Disconnected Non-Security Data,Demonstrate Security-First Marketplace dataset onboarding for expanded telemetry,SecOps,PARITY,Table Stakes,P3,,Platform-state assertion (no detection content),,POV-SC-019,Execute scenario-specific simulation for Disconnected Non-Security Data,TBD,Marketplace dataset onboarding completes successfully,Completeness %,Qualitative pass,XSIAM UI + XQL,Cortex XSIAM · Cortex XDR,Extended Threat Hunting,"N/A — assertion, not detection",NO MEASURABLE THRESHOLD
HNT,TC-TH-05,UCS-TH-03,UC-TH,Threat Hunting,High False Positive Rate in Hunting,Validate analytics engine and smart scoring reduce false positives in hunt results by >50%,SecOps,PARITY,AI-Native,P3,HNT-TH-04,Saved XQL Hunt Query,xdr_data,POV-SC-042,Execute scenario-specific simulation for High False Positive Rate in Hunting,TBD,EAL behavioral profiling measurably reduces false positives,MTTD,Qualitative pass,XSIAM UI + XQL,Cortex XSIAM · Cortex XDR,Extended Threat Hunting,TO AUTHOR,NO MITRE MAPPING · NO MEASURABLE THRESHOLD
DET,TC-TH-06,UCS-TH-04,UC-TH,Threat Hunting,Reactive Hunting / Lack of Threat Intel Integration,Validate TI management with scheduled IOC searches and Unit 42 feed integration,SecOps,PARITY,Table Stakes,P3,DET-TH-05,BIOC,xdr_data,POV-SC-043,Execute scenario-specific simulation for Reactive Hunting / Lack of Threat Intel Integration,TBD,Scheduled IOC searches execute on defined cadence,MTTD,Qualitative pass,XSIAM UI + XQL,Cortex XSIAM · Cortex XDR,Extended Threat Hunting,TO AUTHOR,NO MITRE MAPPING · NO MEASURABLE THRESHOLD
DET,TC-TH-07,UCS-TH-05,UC-TH,Threat Hunting,Lack of Integrated Forensics Tooling,Demonstrate forensics investigation and collection within hunting workflow,SecOps,PARITY,Table Stakes,P3,DET-TH-06,BIOC,xdr_data,POV-SC-044,Execute scenario-specific simulation for Lack of Integrated Forensics Tooling,TBD,Forensic investigation and evidence collection complete within hunting workflow,Completeness %,Qualitative pass,XSIAM UI + XQL,Cortex XSIAM · Cortex XDR,Extended Threat Hunting,TO AUTHOR,NO MITRE MAPPING · NO MEASURABLE THRESHOLD
DET,TC-EDR-01,UCS-EDR-01,UC-EDR,Endpoint Detection & Response,Siloed EDR Policy Management,Validate unified endpoint policy creation across protection profiles (granular process-level),SecOps,PARITY,Table Stakes,P3,DET-EDR-01,BIOC,xdr_data,POV-SC-020,Execute scenario-specific simulation for Siloed EDR Policy Management,TBD,Protection policies deploy and enforce correctly across target endpoints,SLA Compliance,Qualitative pass,XSIAM UI + XQL,Cortex XDR · Cortex XSIAM,Enterprise Runtime Security (XDR) · Host Insights · Forensics · Agentic Endpoint Security (AES) ⚠,TO AUTHOR,NO MITRE MAPPING · NO MEASURABLE THRESHOLD
DET,TC-EDR-02,UCS-EDR-01,UC-EDR,Endpoint Detection & Response,Siloed EDR Policy Management,Demonstrate asset-level policy assignment with granular protection profiles,SecOps,PARITY,Table Stakes,P3,DET-EDR-02,BIOC,xdr_data,POV-SC-020,Execute scenario-specific simulation for Siloed EDR Policy Management,TBD,Protection policies deploy and enforce correctly across target endpoints,SLA Compliance,Qualitative pass,XSIAM UI + XQL,Cortex XDR · Cortex XSIAM,Enterprise Runtime Security (XDR) · Host Insights · Forensics · Agentic Endpoint Security (AES) ⚠,TO AUTHOR,NO MITRE MAPPING · NO MEASURABLE THRESHOLD
DET,TC-EDR-03,UCS-EDR-02,UC-EDR,Endpoint Detection & Response,Malware Detection Gaps,"Validate multi-method malware detection (local sandbox, behavioral, static analysis)",SecOps,PARITY,Table Stakes,P3,DET-EDR-03,Analytics BIOC,xdr_data,POV-SC-021,Execute scenario-specific simulation for Malware Detection Gaps,TBD,Known malware families detected across all test methods,False Positive Rate,Qualitative pass,XSIAM UI + XQL,Cortex XDR · Cortex XSIAM,Enterprise Runtime Security (XDR) · Host Insights · Forensics · Agentic Endpoint Security (AES) ⚠,TO AUTHOR,NO MITRE MAPPING · NO MEASURABLE THRESHOLD
DET,TC-EDR-04,UCS-EDR-02,UC-EDR,Endpoint Detection & Response,Malware Detection Gaps,Demonstrate auto-containment triggers on confirmed malware execution,SecOps,PARITY,Table Stakes,P3,DET-EDR-04,BIOC,xdr_data,POV-SC-021,Execute scenario-specific simulation for Malware Detection Gaps,TBD,Known malware families detected across all test methods,False Positive Rate,Qualitative pass,XSIAM UI + XQL,Cortex XDR · Cortex XSIAM,Enterprise Runtime Security (XDR) · Host Insights · Forensics · Agentic Endpoint Security (AES) ⚠,TO AUTHOR,NO MITRE MAPPING · NO MEASURABLE THRESHOLD
DET,TC-EDR-05,UCS-EDR-03,UC-EDR,Endpoint Detection & Response,Lack of Endpoint Alert Context,Validate causality graph provides full process chain and causality owner attribution,SecOps,PARITY,Platform,P3,DET-EDR-05,Correlation Rule (XQL),xdr_data,POV-SC-045,Execute scenario-specific simulation for Lack of Endpoint Alert Context,TBD,Causality chain captures initial access through lateral movement,Causality Chain Completeness,Qualitative pass,XSIAM Causality View (XQL: dataset=xdr_data),Cortex XDR · Cortex XSIAM,Enterprise Runtime Security (XDR) · Host Insights · Forensics · Agentic Endpoint Security (AES) ⚠,TO AUTHOR,NO MITRE MAPPING · NO MEASURABLE THRESHOLD
DET,TC-EDR-06,UCS-EDR-04,UC-EDR,Endpoint Detection & Response,Disparate Agent Upgrade Process,Demonstrate unified agent management with scheduled upgrades from single console,SecOps,PARITY,Table Stakes,P3,DET-EDR-06,BIOC,xdr_data,POV-SC-046,Execute scenario-specific simulation for Disparate Agent Upgrade Process,TBD,Unified agent management with scheduled upgrades functions correctly,MTTD,Qualitative pass,XSIAM UI + XQL,Cortex XDR · Cortex XSIAM,Enterprise Runtime Security (XDR) · Host Insights · Forensics · Agentic Endpoint Security (AES) ⚠,TO AUTHOR,NO MITRE MAPPING · NO MEASURABLE THRESHOLD
DET,TC-NDR-01,UCS-NDR-01,UC-NDR,Network Detection & Response,Siloed Network and Endpoint Data,Validate causality graph stitching correlates network events with endpoint process telemetry,SecOps,MOAT,Platform,P1,DET-NDR-01,Correlation Rule (XQL),xdr_data,POV-SC-008,"Execute network-based attack (beaconing, DNS tunneling, lateral movement via SMB/RDP)",TBD,Causality chain captures initial access through lateral movement,Causality Chain Completeness,Qualitative pass,XSIAM Causality View (XQL: dataset=xdr_data) · NGFW log ingestion via Broker VM,Cortex XSIAM,Data Ingestion — Analytics tier,TO AUTHOR,NO MITRE MAPPING · NO MEASURABLE THRESHOLD
DET,TC-NDR-02,UCS-NDR-01,UC-NDR,Network Detection & Response,Siloed Network and Endpoint Data,Demonstrate SOC-specific network story context enriched with endpoint causality,SecOps,MOAT,Ecosystem,P1,DET-NDR-02,Correlation Rule (XQL),xdr_data,POV-SC-008,"Execute network-based attack (beaconing, DNS tunneling, lateral movement via SMB/RDP)",TBD,Causality chain captures initial access through lateral movement,Causality Chain Completeness,Qualitative pass,XSIAM Causality View (XQL: dataset=xdr_data) · NGFW log ingestion via Broker VM,Cortex XSIAM,Data Ingestion — Analytics tier,TO AUTHOR,NO MITRE MAPPING · NO MEASURABLE THRESHOLD
DET,TC-NDR-03,UCS-NDR-02,UC-NDR,Network Detection & Response,Network Traffic Noise / Alert Fatigue,Validate network analytics engine filters traffic noise via EAL,SecOps,MOAT,Ecosystem,P1,DET-NDR-03,Analytics BIOC,panw_ngfw_traffic_raw · panw_ngfw_threat_raw,POV-SC-008,"Execute network-based attack (beaconing, DNS tunneling, lateral movement via SMB/RDP)",TBD,EAL behavioral profiling measurably reduces false positives,MTTD,Qualitative pass,XSIAM UI + XQL · NGFW log ingestion via Broker VM,Cortex XSIAM,Data Ingestion — Analytics tier,TO AUTHOR,NO MITRE MAPPING · NO MEASURABLE THRESHOLD
DET,TC-NDR-04,UCS-NDR-02,UC-NDR,Network Detection & Response,Network Traffic Noise / Alert Fatigue,Demonstrate behavioral analytics thresholds for malicious egress and data exfil detection,SecOps,MOAT,Ecosystem,P1,DET-NDR-04,Analytics BIOC,panw_ngfw_traffic_raw · panw_ngfw_threat_raw,POV-SC-008,"Execute network-based attack (beaconing, DNS tunneling, lateral movement via SMB/RDP)",TBD,Behavioral analytics thresholds correctly differentiate malicious from benign egress patterns,Detection Accuracy,Qualitative pass,XSIAM UI + XQL · NGFW log ingestion via Broker VM,Cortex XSIAM,Data Ingestion — Analytics tier,TO AUTHOR,NO MITRE MAPPING · NO MEASURABLE THRESHOLD
PLT,TC-NDR-05,UCS-NDR-03,UC-NDR,Network Detection & Response,3rd Party Network Sources Disconnected from SOC,Validate Broker VM normalization of 3rd-party network data into unified schema,SecOps,MOAT,Ecosystem,P1,,Platform-state assertion (no detection content),,POV-SC-008,"Execute network-based attack (beaconing, DNS tunneling, lateral movement via SMB/RDP)",TBD,Broker VM normalization of 3rd-party network data produces unified data model,Cross-Source Correlation Rate,Qualitative pass,XSIAM UI + XQL · NGFW log ingestion via Broker VM,Cortex XSIAM,Data Ingestion — Analytics tier,"N/A — assertion, not detection",NO MEASURABLE THRESHOLD
DET,TC-NDR-06,UCS-NDR-04,UC-NDR,Network Detection & Response,Complex Network and Endpoint Policy,Demonstrate EDL policy management and enforcement,SecOps,MOAT,Ecosystem,P1,DET-NDR-05,BIOC,panw_ngfw_traffic_raw · panw_ngfw_threat_raw,POV-SC-008,"Execute network-based attack (beaconing, DNS tunneling, lateral movement via SMB/RDP)",TBD,Protection policies deploy and enforce correctly across target endpoints,SLA Compliance,Qualitative pass,XSIAM UI + XQL · NGFW log ingestion via Broker VM,Cortex XSIAM,Data Ingestion — Analytics tier,TO AUTHOR,NO MITRE MAPPING · NO MEASURABLE THRESHOLD
DET,TC-ITDR-01,UCS-ITDR-01,UC-ITDR,Identity Threat Detection & Response,Stolen Credentials Bypass EDR,Validate identity analytics detect living-off-the-land credential abuse alerts,SecOps,LEAD,Table Stakes,P2,DET-ITDR-01,Analytics BIOC,xdr_data,POV-SC-011,"Simulate credential abuse (token replay, impossible travel, privilege escalation via Atomic T1078.004)",T1078.004,"Credential-based attacks (pass-the-hash, Kerberoasting) detected",Detection Accuracy,Qualitative pass,XSIAM UI + XQL,Cortex XSIAM · Cortex XDR,Identity Threat Detection & Response · Enterprise Runtime Security (XDR),TO AUTHOR,NO MEASURABLE THRESHOLD
DET,TC-ITDR-02,UCS-ITDR-01,UC-ITDR,Identity Threat Detection & Response,Stolen Credentials Bypass EDR,Demonstrate impossible traveler detection based on login frequency and geo-analysis,SecOps,LEAD,Table Stakes,P2,DET-ITDR-02,Analytics BIOC,xdr_data,POV-SC-011,"Simulate credential abuse (token replay, impossible travel, privilege escalation via Atomic T1078.004)",T1078.004,Geographically impossible logins detected correctly,Detection Accuracy,Qualitative pass,XSIAM UI + XQL,Cortex XSIAM · Cortex XDR,Identity Threat Detection & Response · Enterprise Runtime Security (XDR),TO AUTHOR,NO MEASURABLE THRESHOLD
DET,TC-ITDR-03,UCS-ITDR-02,UC-ITDR,Identity Threat Detection & Response,Multiple Disconnected Identity Solutions,"Validate CIE syncs and correlates AD, Azure AD, and cloud IdPs",SecOps,LEAD,Table Stakes,P2,DET-ITDR-03,Correlation Rule (XQL),xdr_data,POV-SC-001,Execute multi-stage attack chain (T1566 email → T1059 endpoint → T1021 lateral → T1078 cloud identity),T1021 T1059 T1078 T1566,"Identity data ingested from multiple IdPs (AD, Azure AD, Okta)",Cross-Source Correlation Rate,Qualitative pass,XSIAM UI + XQL,Cortex XSIAM · Cortex XDR,Identity Threat Detection & Response · Enterprise Runtime Security (XDR),TO AUTHOR,GENERIC SCENARIO (shared by 21 TCs) — needs purpose-built payload · NO MEASURABLE THRESHOLD
PLT,TC-ITDR-04,UCS-ITDR-02,UC-ITDR,Identity Threat Detection & Response,Multiple Disconnected Identity Solutions,Demonstrate IDP integration with Okta/Entra ID via Marketplace connectors,SecOps,LEAD,Table Stakes,P2,,Platform-state assertion (no detection content),,POV-SC-011,"Simulate credential abuse (token replay, impossible travel, privilege escalation via Atomic T1078.004)",T1078.004,IDP integration with Okta/Entra ID via Marketplace functions correctly,Cross-Source Correlation Rate,Qualitative pass,XSIAM UI + XQL,Cortex XSIAM · Cortex XDR,Identity Threat Detection & Response · Enterprise Runtime Security (XDR),"N/A — assertion, not detection",NO MEASURABLE THRESHOLD
DET,TC-ITDR-05,UCS-ITDR-03,UC-ITDR,Identity Threat Detection & Response,Lack of Cumulative / Historical Risk Analysis,Validate host/user risk scoring aggregates identity signals over time,SecOps,LEAD,Table Stakes,P2,DET-ITDR-04,BIOC,xdr_data,POV-SC-011,"Simulate credential abuse (token replay, impossible travel, privilege escalation via Atomic T1078.004)",T1078.004,Risk scores consistent and explainable across entity types,Automation Rate,Qualitative pass,XSIAM UI + XQL,Cortex XSIAM · Cortex XDR,Identity Threat Detection & Response · Enterprise Runtime Security (XDR),TO AUTHOR,NO MEASURABLE THRESHOLD
PLT,TC-ITDR-06,UCS-ITDR-03,UC-ITDR,Identity Threat Detection & Response,Lack of Cumulative / Historical Risk Analysis,Demonstrate integration of identity sources via CIE and Marketplace for enriched risk context,SecOps,LEAD,Table Stakes,P2,,Platform-state assertion (no detection content),,POV-SC-001,Execute multi-stage attack chain (T1566 email → T1059 endpoint → T1021 lateral → T1078 cloud identity),T1021 T1059 T1078 T1566,"Identity data ingested from multiple IdPs (AD, Azure AD, Okta)",Cross-Source Correlation Rate,Qualitative pass,XSIAM UI + XQL,Cortex XSIAM · Cortex XDR,Identity Threat Detection & Response · Enterprise Runtime Security (XDR),"N/A — assertion, not detection",GENERIC SCENARIO (shared by 21 TCs) — needs purpose-built payload · NO MEASURABLE THRESHOLD
PLT,TC-ERV-01,UCS-ERV-01,UC-ERV,Enterprise Risk Visibility,Disconnected Security Platforms,"Validate security stack onboarding via BVM, Marketplace, and native connectors",SecOps,MOAT,Table Stakes,P1,,Platform-state assertion (no detection content),,POV-SC-022,Execute scenario-specific simulation for Disconnected Security Platforms,TBD,Data sources onboarded via BVM/Marketplace/native connectors,Coverage %,Qualitative pass,XSIAM UI + XQL · Cortex Cloud Posture Dashboard + REST API,Cortex XSIAM · Cortex XDR · Cortex Cloud,Exposure Management · Attack Surface Management · Cloud Posture Security · Host Insights,"N/A — assertion, not detection",NO MEASURABLE THRESHOLD
POS,TC-ERV-02,UCS-ERV-01,UC-ERV,Enterprise Risk Visibility,Disconnected Security Platforms,Demonstrate NGFW/Runtime event stitching into unified incident timeline,SecOps,MOAT,Ecosystem,P1,,Posture policy assertion (no detection content),,POV-SC-022,Execute scenario-specific simulation for Disconnected Security Platforms,TBD,NGFW logs ingested and normalized into XSIAM data model,Cross-Source Correlation Rate,Qualitative pass,XSIAM UI + XQL · Cortex Cloud Posture Dashboard + REST API,Cortex XSIAM · Cortex XDR · Cortex Cloud,Exposure Management · Attack Surface Management · Cloud Posture Security · Host Insights,"N/A — assertion, not detection",NO MEASURABLE THRESHOLD
POS,TC-ERV-03,UCS-ERV-01,UC-ERV,Enterprise Risk Visibility,Disconnected Security Platforms,Validate automation integrations (SOAR playbooks) across onboarded security stack,SecOps,MOAT,Table Stakes,P1,,Posture policy assertion (no detection content),,POV-SC-001,Execute multi-stage attack chain (T1566 email → T1059 endpoint → T1021 lateral → T1078 cloud identity),T1021 T1059 T1078 T1566,Playbooks execute across multiple integrated security tools,Automation Rate,Qualitative pass,XSIAM UI + XQL · Cortex Cloud Posture Dashboard + REST API,Cortex XSIAM · Cortex XDR · Cortex Cloud,Exposure Management · Attack Surface Management · Cloud Posture Security · Host Insights,"N/A — assertion, not detection",GENERIC SCENARIO (shared by 21 TCs) — needs purpose-built payload · NO MEASURABLE THRESHOLD
POS,TC-ERV-04,UCS-ERV-02,UC-ERV,Enterprise Risk Visibility,Siloed Cloud Visibility,"Validate unified asset onboarding and multi-cloud visibility (AWS, Azure, GCP)",SecOps,MOAT,Table Stakes,P1,,Posture policy assertion (no detection content),,POV-SC-023,Execute scenario-specific simulation for Siloed Cloud Visibility,TBD,Unified asset onboarding spans multi-cloud environments,Coverage %,Qualitative pass,XSIAM UI + XQL · Cortex Cloud Posture Dashboard + REST API,Cortex XSIAM · Cortex XDR · Cortex Cloud,Exposure Management · Attack Surface Management · Cloud Posture Security · Host Insights,"N/A — assertion, not detection",NO MEASURABLE THRESHOLD
POS,TC-ERV-05,UCS-ERV-02,UC-ERV,Enterprise Risk Visibility,Siloed Cloud Visibility,Demonstrate Code-to-Cloud-to-SOC traceability for cloud-native workloads,SecOps,MOAT,Cloud-Native,P1,,Posture policy assertion (no detection content),,POV-SC-023,Execute scenario-specific simulation for Siloed Cloud Visibility,TBD,Critical cloud findings automatically escalate to SOC queue,Automation Rate,Qualitative pass,XSIAM UI + XQL · Cortex Cloud Posture Dashboard + REST API,Cortex XSIAM · Cortex XDR · Cortex Cloud,Exposure Management · Attack Surface Management · Cloud Posture Security · Host Insights,"N/A — assertion, not detection",NO MEASURABLE THRESHOLD
POS,TC-ERV-06,UCS-ERV-03,UC-ERV,Enterprise Risk Visibility,Non-Coherent Rolling Risk Attribution,Validate ITDR and Asset Security risk scoring provides cumulative rolling attribution,SecOps,MOAT,Table Stakes,P1,,Posture policy assertion (no detection content),,POV-SC-047,Execute scenario-specific simulation for Non-Coherent Rolling Risk Attribution,TBD,Risk scores consistent and explainable across entity types,Automation Rate,Qualitative pass,XSIAM UI + XQL · Cortex Cloud Posture Dashboard + REST API,Cortex XSIAM · Cortex XDR · Cortex Cloud,Exposure Management · Attack Surface Management · Cloud Posture Security · Host Insights,"N/A — assertion, not detection",NO MEASURABLE THRESHOLD
