TC ID,UC ID,Family,Plane,Scenario dir,Moat Class,Tier,Primary KPI,Threshold,Detection Source,Test Case
TC-EDR-05,UC-EDR,F2-CausalityStitching,EDR,scenarios/edr/,Platform,PARITY,Causality Chain Completeness,Qualitative pass,XSIAM Causality View (XQL: dataset=xdr_data),Validate causality graph provides full process chain and causality owner attribution
TC-EDR-06,UC-EDR,F1-SignalInjection,EDR,scenarios/edr/,Table Stakes,PARITY,MTTD,Qualitative pass,XSIAM UI + XQL,Demonstrate unified agent management with scheduled upgrades from single console
TC-NDR-01,UC-NDR,F2-CausalityStitching,NDR,scenarios/ndr/,Platform,MOAT,Causality Chain Completeness,Qualitative pass,XSIAM Causality View (XQL: dataset=xdr_data) · NGFW log ingestion via Broker VM,Validate causality graph stitching correlates network events with endpoint process telemetry
TC-NDR-02,UC-NDR,F2-CausalityStitching,NDR,scenarios/ndr/,Ecosystem,MOAT,Causality Chain Completeness,Qualitative pass,XSIAM Causality View (XQL: dataset=xdr_data) · NGFW log ingestion via Broker VM,Demonstrate SOC-specific network story context enriched with endpoint causality
TC-NDR-03,UC-NDR,F1-SignalInjection,NDR,scenarios/ndr/,Ecosystem,MOAT,MTTD,Qualitative pass,XSIAM UI + XQL · NGFW log ingestion via Broker VM,Validate network analytics engine filters traffic noise via EAL
TC-NDR-04,UC-NDR,F1-SignalInjection,NDR,scenarios/ndr/,Ecosystem,MOAT,Detection Accuracy,Qualitative pass,XSIAM UI + XQL · NGFW log ingestion via Broker VM,Demonstrate behavioral analytics thresholds for malicious egress and data exfil detection
TC-NDR-05,UC-NDR,F2-CausalityStitching,NDR,scenarios/ndr/,Ecosystem,MOAT,Cross-Source Correlation Rate,Qualitative pass,XSIAM UI + XQL · NGFW log ingestion via Broker VM,Validate Broker VM normalization of 3rd-party network data into unified schema
TC-NDR-06,UC-NDR,F6-ResponseTiming,NDR,scenarios/ndr/,Ecosystem,MOAT,SLA Compliance,Qualitative pass,XSIAM UI + XQL · NGFW log ingestion via Broker VM,Demonstrate EDL policy management and enforcement
TC-ITDR-01,UC-ITDR,F1-SignalInjection,ITDR,scenarios/itdr/,Table Stakes,LEAD,Detection Accuracy,Qualitative pass,XSIAM UI + XQL,Validate identity analytics detect living-off-the-land credential abuse alerts
TC-ITDR-02,UC-ITDR,F1-SignalInjection,ITDR,scenarios/itdr/,Table Stakes,LEAD,Detection Accuracy,Qualitative pass,XSIAM UI + XQL,Demonstrate impossible traveler detection based on login frequency and geo-analysis
TC-ITDR-03,UC-ITDR,F2-CausalityStitching,ITDR,scenarios/itdr/,Table Stakes,LEAD,Cross-Source Correlation Rate,Qualitative pass,XSIAM UI + XQL,"Validate CIE syncs and correlates AD, Azure AD, and cloud IdPs"
TC-ITDR-04,UC-ITDR,F2-CausalityStitching,ITDR,scenarios/itdr/,Table Stakes,LEAD,Cross-Source Correlation Rate,Qualitative pass,XSIAM UI + XQL,Demonstrate IDP integration with Okta/Entra ID via Marketplace connectors
TC-ITDR-05,UC-ITDR,F5-AutomationWorkflow,ITDR,scenarios/itdr/,Table Stakes,LEAD,Automation Rate,Qualitative pass,XSIAM UI + XQL,Validate host/user risk scoring aggregates identity signals over time
TC-ITDR-06,UC-ITDR,F2-CausalityStitching,ITDR,scenarios/itdr/,Table Stakes,LEAD,Cross-Source Correlation Rate,Qualitative pass,XSIAM UI + XQL,Demonstrate integration of identity sources via CIE and Marketplace for enriched risk context
TC-ERV-01,UC-ERV,F4-PostureCompliance,ANALYTICS,scenarios/multi_plane/,Table Stakes,MOAT,Coverage %,Qualitative pass,XSIAM UI + XQL · Cortex Cloud Posture Dashboard + REST API,"Validate security stack onboarding via BVM, Marketplace, and native connectors"
TC-ERV-02,UC-ERV,F2-CausalityStitching,ANALYTICS,scenarios/multi_plane/,Ecosystem,MOAT,Cross-Source Correlation Rate,Qualitative pass,XSIAM UI + XQL · Cortex Cloud Posture Dashboard + REST API,Demonstrate NGFW/Runtime event stitching into unified incident timeline
TC-ERV-03,UC-ERV,F5-AutomationWorkflow,ANALYTICS,scenarios/multi_plane/,Table Stakes,MOAT,Automation Rate,Qualitative pass,XSIAM UI + XQL · Cortex Cloud Posture Dashboard + REST API,Validate automation integrations (SOAR playbooks) across onboarded security stack
TC-ERV-04,UC-ERV,F4-PostureCompliance,ANALYTICS,scenarios/multi_plane/,Table Stakes,MOAT,Coverage %,Qualitative pass,XSIAM UI + XQL · Cortex Cloud Posture Dashboard + REST API,"Validate unified asset onboarding and multi-cloud visibility (AWS, Azure, GCP)"
TC-ERV-05,UC-ERV,F5-AutomationWorkflow,ANALYTICS,scenarios/multi_plane/,Cloud-Native,MOAT,Automation Rate,Qualitative pass,XSIAM UI + XQL · Cortex Cloud Posture Dashboard + REST API,Demonstrate Code-to-Cloud-to-SOC traceability for cloud-native workloads
TC-ERV-06,UC-ERV,F5-AutomationWorkflow,ANALYTICS,scenarios/multi_plane/,Table Stakes,MOAT,Automation Rate,Qualitative pass,XSIAM UI + XQL · Cortex Cloud Posture Dashboard + REST API,Validate ITDR and Asset Security risk scoring provides cumulative rolling attribution
TC-ERV-07,UC-ERV,F1-SignalInjection,ANALYTICS,scenarios/multi_plane/,Table Stakes,MOAT,MTTD,Qualitative pass,XSIAM UI + XQL · Cortex Cloud Posture Dashboard + REST API,Validate automated reporting generation against compliance frameworks
TC-ERV-08,UC-ERV,F6-ResponseTiming,ANALYTICS,scenarios/multi_plane/,Table Stakes,MOAT,SLA Compliance,Qualitative pass,XSIAM UI + XQL · Cortex Cloud Policies + Alerts view,Demonstrate compliance catalog with custom policy configurability
TC-ASM-01,UC-ASM,F1-SignalInjection,ASM,scenarios/asm/  (proposed),Ecosystem,MOAT,MTTD,Qualitative pass,XSIAM UI + XQL · Xpanse Asset Inventory + Issues,Validate XPANSE asset inventory feeds unmanaged asset data into XSIAM incident context
TC-ASM-02,UC-ASM,F5-AutomationWorkflow,ASM,scenarios/asm/  (proposed),Ecosystem,MOAT,Automation Rate,Qualitative pass,XSIAM UI + XQL · Xpanse Asset Inventory + Issues,Demonstrate external scan results trigger automated remediation workflows
TC-ASM-03,UC-ASM,F2-CausalityStitching,ASM,scenarios/asm/  (proposed),Ecosystem,MOAT,Cross-Source Correlation Rate,Qualitative pass,XSIAM UI + XQL · Xpanse Asset Inventory + Issues,Validate Unit 42 TI integrated into retroactive search protocols against ASM findings
TC-ASM-04,UC-ASM,F3-AssetDiscovery,ASM,scenarios/asm/  (proposed),Ecosystem,MOAT,Asset Discovery Coverage,Qualitative pass,XSIAM UI + XQL · Xpanse Asset Inventory + Issues,Demonstrate TI management scheduled searches against discovered attack surface
TC-SIEM-01,UC-SIEM,F6-ResponseTiming,ANALYTICS,scenarios/multi_plane/,Table Stakes,LEAD,SLA Compliance,Qualitative pass,XSIAM UI + XQL,Validate hot/warm/cold data tiering with search performance SLAs
TC-SIEM-02,UC-SIEM,F1-SignalInjection,ANALYTICS,scenarios/multi_plane/,Table Stakes,LEAD,Detection Accuracy,Qualitative pass,XSIAM UI + XQL,Validate Host Insights module provides vulnerability context enriched into endpoint incidents
TC-SOAR-01,UC-SOAR,F4-PostureCompliance,ANALYTICS,scenarios/multi_plane/,Table Stakes,MOAT,Coverage %,Qualitative pass,XSIAM UI + XQL,"Validate XSOAR playbook automates enrichment, triage, and notification for top 5 alert types"
TC-SOAR-02,UC-SOAR,F5-AutomationWorkflow,ANALYTICS,scenarios/multi_plane/,Table Stakes,MOAT,Automation Rate,Qualitative pass,XSIAM UI + XQL,Demonstrate XSIAM native automation replaces standalone SOAR for common playbooks
TC-SOAR-03,UC-SOAR,F6-ResponseTiming,ANALYTICS,scenarios/multi_plane/,Table Stakes,MOAT,MTTR,Qualitative pass,XSIAM UI + XQL,Validate bidirectional integrations with top 5 customer tools
TC-ITPA-01,UC-ITPA,F5-AutomationWorkflow,ANALYTICS,scenarios/multi_plane/,Table Stakes,MOAT,Automation Rate,Qualitative pass,XSIAM UI + XQL,Demonstrate cross-functional automation between SOC and IT ops (ServiceNow + containment)
TC-TIM-01,UC-TIM,F6-ResponseTiming,TIM,scenarios/tim/  (proposed),Table Stakes,LEAD,MTTR,Qualitative pass,XSIAM UI + XQL,"Validate TIM lifecycle management: ingest, deduplicate, score, expire IOCs across feeds"
TC-TIM-02,UC-TIM,F2-CausalityStitching,TIM,scenarios/tim/  (proposed),AI-Native,MOAT,Cross-Source Correlation Rate,Qualitative pass,XSIAM UI + XQL,Demonstrate automated IOC-to-EDL push for real-time blocking at NGFW
TC-MDR-01,UC-MDR,F4-PostureCompliance,ANALYTICS,scenarios/multi_plane/,Table Stakes,PARITY,Coverage %,Qualitative pass,XSIAM UI + XQL,Validate Unit 42 MDR provides continuous monitoring with defined escalation SLAs
TC-MDR-02,UC-MDR,F5-AutomationWorkflow,ANALYTICS,scenarios/multi_plane/,Table Stakes,PARITY,Automation Rate,Qualitative pass,XSIAM UI + XQL,Demonstrate Unit 42 MDR investigation and response on simulated incident
TC-MSIAM-01,UC-MSIAM,F8-IntegrationIngestion,ANALYTICS,scenarios/multi_plane/,Table Stakes,MOAT,Completeness %,Qualitative pass,XSIAM UI + XQL,"Validate MSIAM service onboards, tunes, and operates XSIAM to defined operational metrics"
TC-MTH-01,UC-MTH,F5-AutomationWorkflow,ANALYTICS,scenarios/multi_plane/,Ecosystem,MOAT,Automation Rate,Qualitative pass,XQL query engine (/public_api/v1/xql/start_xql_query),Validate Unit 42 MTH delivers proactive hunt reports with actionable findings on cadence
TC-CDR-01,UC-CDR,F1-SignalInjection,CDR,scenarios/cdr/,Cloud-Native,LEAD,MTTD,Qualitative pass,XSIAM UI + XQL · Cortex Cloud Runtime Alerts + /api/v1/alerts,Validate runtime threat detection for containers and serverless workloads
TC-CDR-02,UC-CDR,F2-CausalityStitching,CDR,scenarios/cdr/,Platform,LEAD,Cross-Source Correlation Rate,Qualitative pass,XSIAM UI + XQL · Cortex Cloud Posture Dashboard + REST API,Demonstrate cloud alert correlation with endpoint/network telemetry in unified incident
TC-CDR-03,UC-CDR,F6-ResponseTiming,CDR,scenarios/cdr/,Table Stakes,LEAD,SLA Compliance,Qualitative pass,XSIAM UI + XQL · Cortex Cloud Policies + Alerts view,Validate CSPM policy scanning detects misconfigurations across multi-cloud accounts
TC-CDR-04,UC-CDR,F2-CausalityStitching,CDR,scenarios/cdr/,Table Stakes,LEAD,Cross-Source Correlation Rate,Qualitative pass,XSIAM UI + XQL · Cortex Cloud Posture Dashboard + REST API,Validate CIEM identifies over-permissioned cloud identities and recommends least-privilege
TC-CDR-05,UC-CDR,F4-PostureCompliance,CDR,scenarios/cdr/,Table Stakes,LEAD,Coverage %,Qualitative pass,XSIAM UI + XQL · Cortex Cloud Posture Dashboard + REST API,Demonstrate agentless scanning and protection for workloads where agent deployment is infeasible
TC-SOT-01,UC-SOT,F1-SignalInjection,ANALYTICS,scenarios/multi_plane/,Table Stakes,MOAT,False Positive Rate,Qualitative pass,XSIAM UI + XQL,"Validate customer alerting strategy alignment: rule tuning, threshold config, escalation paths"
TC-SOT-02,UC-SOT,F5-AutomationWorkflow,ANALYTICS,scenarios/multi_plane/,AI-Native,MOAT,Triage Automation Rate,>60%,XSIAM Incidents (XQL: dataset=incidents),Demonstrate triage-as-validation workflow with auto-triage and analyst override
TC-SOT-03,UC-SOT,F4-PostureCompliance,ANALYTICS,scenarios/multi_plane/,Ecosystem,MOAT,Coverage %,Qualitative pass,XSIAM UI + XQL,Demonstrate lifecycle management: detection tuning → enrichment → response → feedback loop
TC-BYOML-01,UC-BYOML,F1-SignalInjection,ANALYTICS,scenarios/multi_plane/,Table Stakes,MOAT,MTTD,Qualitative pass,XSIAM UI + XQL,Validate BYOML model deployment for custom anomaly detection on customer-specific data
TC-BYOML-02,UC-BYOML,F2-CausalityStitching,ANALYTICS,scenarios/multi_plane/,Table Stakes,MOAT,Cross-Source Correlation Rate,Qualitative pass,XSIAM UI + XQL,Demonstrate datamodel customization for industry-specific correlation rules
TC-0058,UC-007,F1-SignalInjection,ANALYTICS,scenarios/multi_plane/,Table Stakes,PARITY,False Positive Rate,<2%,XSIAM UI + XQL,"Validate DLP detects sensitive data (PII/PCI/PHI) exfiltration attempts across email, web upload, and USB channels in re"
TC-0059,UC-007,F2-CausalityStitching,ANALYTICS,scenarios/multi_plane/,Table Stakes,PARITY,Cross-Source Correlation Rate,within 5 min,XSIAM UI + XQL,Demonstrate cross-channel correlation identifies coordinated data staging across endpoint and network
TC-0060,UC-007,F8-IntegrationIngestion,ANALYTICS,scenarios/multi_plane/,Table Stakes,PARITY,Policy deployment time,within 15 min,XSIAM UI + XQL,"Validate DLP policy creation and enforcement across endpoint, network, and SaaS data channels from unified console"
TC-0061,UC-007,F1-SignalInjection,ANALYTICS,scenarios/multi_plane/,Table Stakes,PARITY,False Positive Rate,40%,XSIAM UI + XQL,Demonstrate policy tuning workflow reduces false positives by iterating on detection patterns with analyst feedback loop
TC-0062,UC-007,F6-ResponseTiming,ANALYTICS,scenarios/multi_plane/,Table Stakes,PARITY,Behavioral detection latency,within 24 hours,XSIAM UI + XQL,Validate behavioral analytics detect anomalous data access patterns indicative of insider threat pre-exfiltration
TC-0063,UC-007,F6-ResponseTiming,ANALYTICS,scenarios/multi_plane/,Table Stakes,PARITY,Enrichment time,within 2 min,XSIAM UI + XQL,Demonstrate DLP integration with UEBA provides enriched insider risk timeline for investigation
TC-0064,UC-007,F4-PostureCompliance,ANALYTICS,scenarios/multi_plane/,Table Stakes,PARITY,Compliance Score,100%,XSIAM UI + XQL,"Validate DLP enforces regulatory compliance controls for PCI-DSS, HIPAA, and GDPR data classification and handling requi"
TC-0065,UC-007,F4-PostureCompliance,ANALYTICS,scenarios/multi_plane/,Table Stakes,PARITY,Compliance Score,<5 minutes,XSIAM UI + XQL,Demonstrate automated compliance reporting with data flow mapping across regulated environments
TC-0066,UC-007,F8-IntegrationIngestion,ANALYTICS,scenarios/multi_plane/,Table Stakes,PARITY,Completeness %,within 30 sec,XSIAM UI + XQL,Validate DLP incidents auto-create XSIAM cases with full context and recommended remediation playbooks
TC-0067,UC-007,F5-AutomationWorkflow,ANALYTICS,scenarios/multi_plane/,Table Stakes,PARITY,Automation Rate,within 15 min,XSIAM Incidents (XQL: dataset=incidents),Demonstrate AgentiX automated DLP incident remediation with user notification and manager escalation workflow
TC-0068,UC-007,F3-AssetDiscovery,ANALYTICS,scenarios/multi_plane/,Table Stakes,PARITY,SaaS coverage %,100%,XSIAM UI + XQL,Validate DLP monitors and controls sensitive data movement across sanctioned and unsanctioned SaaS applications
TC-0058,UC-007,F1-SignalInjection,ANALYTICS,scenarios/multi_plane/,Table Stakes,PARITY,False Positive Rate,<1%,XSIAM UI + XQL,"Validate AI-driven phishing detection identifies credential harvesting, brand impersonation, and zero-day phishing URLs "
TC-0059,UC-007,F2-CausalityStitching,ANALYTICS,scenarios/multi_plane/,Table Stakes,PARITY,Cross-Source Correlation Rate,within 3 min,XSIAM UI + XQL,Demonstrate cross-signal correlation links phishing emails to downstream credential compromise and lateral movement indi
TC-0060,UC-007,F1-SignalInjection,ANALYTICS,scenarios/multi_plane/,Table Stakes,PARITY,False Positive Rate,<0.5%,XSIAM UI + XQL,"Validate BEC detection identifies executive impersonation, vendor invoice fraud, and payment redirect attempts using beh"
TC-0061,UC-007,F6-ResponseTiming,ANALYTICS,scenarios/multi_plane/,Table Stakes,PARITY,Response time,within 2 min,XSIAM UI + XQL,"Demonstrate automated BEC response workflow quarantines message, alerts target, and notifies finance/legal within SLA"
TC-0062,UC-007,F8-IntegrationIngestion,ANALYTICS,scenarios/multi_plane/,Table Stakes,PARITY,Completeness %,98%,XSIAM UI + XQL,"Validate detection of malicious attachments including macro-laden documents, encrypted archives with malware, and embedd"
TC-0063,UC-007,F1-SignalInjection,ANALYTICS,scenarios/multi_plane/,Table Stakes,PARITY,URL detection rate,95%,XSIAM UI + XQL,"Demonstrate link-based payload detection identifies malicious URLs, drive-by downloads, and delayed weaponization (links"
TC-0064,UC-007,F10-QualitativeEvidence,ANALYTICS,scenarios/multi_plane/,Table Stakes,PARITY,Outcome Achieved,100%,XSIAM UI + XQL,"Validate detection of sensitive data exfiltration via email including auto-forwarding rules, BCC to personal accounts, a"
TC-0065,UC-007,F5-AutomationWorkflow,ANALYTICS,scenarios/multi_plane/,Table Stakes,PARITY,Automation Rate,<5 minutes,XSIAM UI + XQL,Validate AgentiX Email Investigation Agent performs full-spectrum email analysis from detection through containment acro
TC-0066,UC-007,F5-AutomationWorkflow,ANALYTICS,scenarios/multi_plane/,Table Stakes,PARITY,Automation Rate,95%,XSIAM UI + XQL,Demonstrate user-reported phishing workflow with automated analysis and feedback loop to reduce repeat reporting of know
TC-0058,UC-007,F6-ResponseTiming,ANALYTICS,scenarios/multi_plane/,Table Stakes,PARITY,MTTR,<10 minutes,XSIAM Incidents (XQL: dataset=incidents),"Validate AgentiX autonomously selects, chains, and executes multi-step playbooks across 1,100+ integrations based on inc"
TC-0059,UC-007,F8-IntegrationIngestion,ANALYTICS,scenarios/multi_plane/,Table Stakes,PARITY,Completeness %,Qualitative pass,XSIAM UI + XQL,"Demonstrate playbook versioning, rollback, and audit trail for governance compliance"
TC-0060,UC-007,F2-CausalityStitching,ANALYTICS,scenarios/multi_plane/,Table Stakes,PARITY,Cross-Source Correlation Rate,90%,XSIAM UI + XQL,"Validate AgentiX AI-driven triage auto-classifies, prioritizes, and enriches incidents using contextual understanding ra"
TC-0061,UC-007,F1-SignalInjection,ANALYTICS,scenarios/multi_plane/,Table Stakes,PARITY,Detection Accuracy,95%,XSIAM UI + XQL,"Demonstrate Threat Intelligence Agent auto-enriches IOCs with multi-source TI, related campaigns, and adversary TTP mapp"
TC-0062,UC-007,F6-ResponseTiming,ANALYTICS,scenarios/multi_plane/,Table Stakes,PARITY,Cross-domain response time,within 5 min,XSIAM UI + XQL,"Validate AgentiX coordinates response actions across endpoint, network, identity, cloud, and email domains in a single a"
TC-0063,UC-007,F8-IntegrationIngestion,ANALYTICS,scenarios/multi_plane/,Table Stakes,PARITY,Completeness %,<2 minutes,XSIAM UI + XQL,Demonstrate Endpoint Investigation Agent delivers rapid forensics collection and containment across multi-vendor EDR env
TC-0064,UC-007,F8-IntegrationIngestion,ANALYTICS,scenarios/multi_plane/,Table Stakes,PARITY,Completeness %,<5 minutes,XSIAM UI + XQL,Validate enterprise-grade guardrails prevent AI agents from executing unauthorized or high-risk actions without human ap
TC-0065,UC-007,F9-CodeToCloudTraceability,ANALYTICS,scenarios/multi_plane/,Table Stakes,PARITY,Traceability Chain Completeness,100%,XSIAM UI + XQL,Demonstrate comprehensive agent activity audit with decision transparency and regulatory compliance reporting
TC-0066,UC-007,F1-SignalInjection,ANALYTICS,scenarios/multi_plane/,Platform,PARITY,Detection Accuracy,<2 minutes,XSIAM Causality View (XQL: dataset=xdr_data),"Validate natural language investigation assistant enables analysts to query across data lake, build timelines, and gener"
TC-0067,UC-007,F7-AITriageQuality,ANALYTICS,scenarios/multi_plane/,AI-Native,PARITY,Investigation quality score,80%,XSIAM UI + XQL,Demonstrate Copilot assists junior analysts in performing senior-level investigations by providing guided investigation 
TC-0068,UC-007,F3-AssetDiscovery,ANALYTICS,scenarios/multi_plane/,Table Stakes,PARITY,Asset Discovery Coverage,within 30 min,XSIAM UI + XQL,Validate Model Context Protocol (MCP) support enables AgentiX to integrate with custom and third-party AI tools without 
TC-0069,UC-007,F4-PostureCompliance,ANALYTICS,scenarios/multi_plane/,Table Stakes,PARITY,Compliance Score,within 4 hours,XSIAM UI + XQL,Demonstrate extensible agent framework allows customers to build custom security agents using AgentiX SDK and existing p
TC-0058,UC-007,F1-SignalInjection,CSPM,scenarios/cspm/  (proposed),Table Stakes,PARITY,False Positive Rate,<3%,Cortex Cloud Runtime Alerts + /api/v1/alerts,"Validate deep architectural analysis detects data poisoning, backdoors, and malicious code hidden within model layers th"
TC-0059,UC-007,F4-PostureCompliance,CSPM,scenarios/cspm/  (proposed),Table Stakes,PARITY,Compliance Score,100%,Cortex Cloud Policies + Alerts view,Demonstrate AI Software Bill of Materials (AI SBOM) generation providing complete model provenance including architectur
TC-0060,UC-007,F3-AssetDiscovery,CSPM,scenarios/cspm/  (proposed),Table Stakes,PARITY,Asset Discovery Coverage,100%,Cortex Cloud Inventory (/api/v1/inventory),Validate discovery and inventory of all AI agents in use—sanctioned and shadow—across the enterprise environment
TC-0061,UC-007,F5-AutomationWorkflow,CSPM,scenarios/cspm/  (proposed),Table Stakes,PARITY,Remediation Success Rate,100%,Cortex Cloud Policies + Alerts view,Demonstrate AI governance policy enforcement prevents non-compliant AI agents from accessing sensitive data or executing
TC-0062,UC-007,F5-AutomationWorkflow,CSPM,scenarios/cspm/  (proposed),Table Stakes,PARITY,Remediation Success Rate,90%,Cortex Cloud Posture Dashboard + REST API,Validate continuous autonomous red teaming with 500+ attack types identifies AI-specific vulnerabilities in production m
TC-0063,UC-007,F4-PostureCompliance,CSPM,scenarios/cspm/  (proposed),Table Stakes,PARITY,Pipeline gate accuracy,within 15 min,Cortex Cloud Posture Dashboard + REST API,Demonstrate AI red team integration with CI/CD pipeline provides automated security validation before model deployment
TC-0064,UC-007,F1-SignalInjection,CSPM,scenarios/cspm/  (proposed),Table Stakes,PARITY,False Positive Rate,<0.5%,Cortex Cloud Runtime Alerts + /api/v1/alerts,"Validate real-time detection and blocking of prompt injection, jailbreak attempts, and malicious agent behaviors in prod"
TC-0065,UC-007,F6-ResponseTiming,CSPM,scenarios/cspm/  (proposed),Cloud-Native,PARITY,Drift detection latency,<5%,Cortex Cloud Runtime Alerts + /api/v1/alerts,Demonstrate AI runtime monitoring detects anomalous model behavior indicating compromise or drift from expected operatio
TC-0066,UC-007,F8-IntegrationIngestion,CSPM,scenarios/cspm/  (proposed),Cloud-Native,PARITY,Completeness %,100%,Cortex Cloud Posture Dashboard + REST API,"Validate protection of AI training data pipelines against data poisoning, unauthorized access, and supply chain compromi"
TC-0067,UC-007,F8-IntegrationIngestion,CSPM,scenarios/cspm/  (proposed),Table Stakes,PARITY,Completeness %,Qualitative pass,Cortex Cloud Posture Dashboard + REST API,Demonstrate RAG (Retrieval Augmented Generation) knowledge base security prevents sensitive data leakage and unauthorize
