tc_id,uc_id,use_case,validation_class,tier,bucket,reason_code,rationale,test_case
TC-DLP-08,UC-DLP,Data Loss Prevention (DLP),POS,PARITY,external,CONSOLE_ONLY_NO_READ_API,Compliance report generation and data-flow maps are console renderings.,Demonstrate automated compliance reporting with data flow mapping across regulated environments
TC-DLP-09,UC-DLP,Data Loss Prevention (DLP),DET,PARITY,buildable,BUILDABLE_ASSERTION,"Case auto-creation from a DLP incident, with required context fields present, is a direct xsiam_incidents read.",Validate DLP incidents auto-create XSIAM cases with full context and recommended remediation playbooks
TC-DLP-10,UC-DLP,Data Loss Prevention (DLP),DET,PARITY,buildable,BUILDABLE_BOTH,DLP stimulus plus an assertion reading the remediation action and its approval state.,Demonstrate AgentiX automated DLP incident remediation with user notification and manager escalation workflow
TC-EDR-01,UC-EDR,Endpoint Detection & Response,DET,PARITY,external,TENANT_CONFIG_NO_WRITE_PATH,Endpoint policy creation is a write.,Validate unified endpoint policy creation across protection profiles (granular process-level)
TC-EDR-02,UC-EDR,Endpoint Detection & Response,DET,PARITY,external,TENANT_CONFIG_NO_WRITE_PATH,Policy assignment to assets is a write.,Demonstrate asset-level policy assignment with granular protection profiles
TC-EDR-06,UC-EDR,Endpoint Detection & Response,DET,PARITY,external,TENANT_CONFIG_NO_WRITE_PATH,"Scheduling agent upgrades is a write, and the engine must never move a customer's agent version.",Demonstrate unified agent management with scheduled upgrades from single console
TC-ERV-03,UC-ERV,Enterprise Risk Visibility,POS,MOAT,external,EXTERNAL_THIRD_PARTY_SYSTEM,'Automation integrations across the onboarded stack' is defined by the customer's own third-party tools.,Validate automation integrations (SOAR playbooks) across onboarded security stack
TC-ERV-06,UC-ERV,Enterprise Risk Visibility,POS,MOAT,buildable,BUILDABLE_ASSERTION,Rolling risk attribution is a scalar read on the asset's score before and after seeded identity risk.,Validate ITDR and Asset Security risk scoring provides cumulative rolling attribution
TC-ERV-07,UC-ERV,Enterprise Risk Visibility,POS,MOAT,external,CONSOLE_ONLY_NO_READ_API,Compliance-framework report generation is a console artifact.,Validate automated reporting generation against compliance frameworks
TC-ERV-08,UC-ERV,Enterprise Risk Visibility,POS,MOAT,external,TENANT_CONFIG_NO_WRITE_PATH,Custom policy configurability requires authoring policies.,Demonstrate compliance catalog with custom policy configurability
TC-IR-06,UC-IR,Incident Response,PLT,PARITY,external,INDEX_ROW_SELF_CONTRADICTORY,"Title says auto-containment within an SLA; success_criteria measure malware DETECTION pre-execution and false-positive rate, and primary_kpi is 'False Positive Rate' — the KPI agrees with the pasted criteria, not with the title. An xql_latency containment assertion would be scored against a detection claim.",Validate malware auto-containment isolates compromised endpoint within SLA threshold
TC-IR-09,UC-IR,Incident Response,DET,PARITY,buildable,BUILDABLE_ASSERTION,Priority adjustment by asset criticality is a scalar read on incident severity across two hosts of differing criticality.,Validate asset risk scoring adjusts incident priority based on asset criticality
TC-IR-10,UC-IR,Incident Response,DET,PARITY,external,CONSOLE_ONLY_NO_READ_API,Case starring is a console interaction.,Demonstrate case starring and auto-prioritization workflow for VIP assets
TC-IR-11,UC-IR,Incident Response,DET,PARITY,buildable,BUILDABLE_ASSERTION,Auto-enrichment presence is a ratio over incidents carrying the enrichment fields.,Validate auto-enrichment populates incident context without analyst action
TC-ITDR-04,UC-ITDR,Identity Threat Detection & Response,PLT,LEAD,buildable,BUILDABLE_ASSERTION,"PLT-ITDR-006 already proves one identity resolving across AD, Entra and Okta. The Marketplace-connector door itself is unprovable and stays disclaimed.",Demonstrate IDP integration with Okta/Entra ID via Marketplace connectors
TC-ITPA-01,UC-ITPA,IT Process Automation,DET,MOAT,external,EXTERNAL_THIRD_PARTY_SYSTEM,"Bidirectional ServiceNow sync. No ServiceNow surface exists anywhere in the tree, and closing it would need a write path the engine forbids.",Demonstrate cross-functional automation between SOC and IT ops (ServiceNow + containment)
TC-MDR-01,UC-MDR,Managed Detection & Response (MDR),PLT,PARITY,external,EXTERNAL_SERVICE_DELIVERY,Unit 42 acknowledgement and escalation SLA. The engine can fire detections into off-hours windows; whether a human acknowledged them is not a platform fact.,Validate Unit 42 MDR provides continuous monitoring with defined escalation SLAs
TC-MDR-02,UC-MDR,Managed Detection & Response (MDR),DET,PARITY,external,EXTERNAL_SERVICE_DELIVERY,"The subject is the Unit 42 analyst's investigation and containment quality, not the platform's.",Demonstrate Unit 42 MDR investigation and response on simulated incident
TC-MSIAM-01,UC-MSIAM,Managed XSIAM (MSIAM),DET,MOAT,external,EXTERNAL_SERVICE_DELIVERY,"Onboarding completeness, tuning cadence and SLA reporting of a managed service engagement.","Validate MSIAM service onboards, tunes, and operates XSIAM to defined operational metrics"
TC-MTH-01,UC-MTH,Managed Threat Hunting (MTH),HNT,MOAT,buildable,BUILDABLE_SCENARIO,"The index's own simulation input is 'pre-seeded hunt dataset, 20-30 known IOCs across credential access, persistence, exfiltration' — that corpus is precisely what the engine builds. Hunt QUALITY stays with Unit 42 and is disclaimed.",Validate Unit 42 MTH delivers proactive hunt reports with actionable findings on cadence
TC-SIEM-01,UC-SIEM,Log Management & Compliance,PLT,LEAD,external,TIME_HORIZON_EXCEEDS_POV,"Hot/warm/cold lifecycle transitions need data aged into each tier, and the 'search SLA' half needs query-latency measurement no probe in this substrate performs.",Validate hot/warm/cold data tiering with search performance SLAs
TC-SIEM-02,UC-SIEM,Log Management & Compliance,DET,LEAD,external,LICENSED_MODULE_REQUIRED,Host Insights must be licensed and active; the engine can neither enable it nor tell an unlicensed tenant from an unenriched one.,Validate Host Insights module provides vulnerability context enriched into endpoint incidents
TC-SOAR-01,UC-SOAR,SOC Process Automation,DET,MOAT,buildable,BUILDABLE_BOTH,"Trigger the alert types, then read playbook completion and enrichment on the incident.","Validate XSOAR playbook automates enrichment, triage, and notification for top 5 alert types"
TC-SOAR-03,UC-SOAR,SOC Process Automation,DET,MOAT,external,EXTERNAL_THIRD_PARTY_SYSTEM,'Top 5 customer tools' is by definition the customer's third-party estate.,Validate bidirectional integrations with top 5 customer tools
TC-SOT-01,UC-SOT,Security Operations Transformation,DET,MOAT,external,TENANT_CONFIG_NO_WRITE_PATH,"Rule tuning, threshold configuration and escalation paths are all tenant writes.","Validate customer alerting strategy alignment: rule tuning, threshold config, escalation paths"
TC-SOT-03,UC-SOT,Security Operations Transformation,DET,MOAT,external,TENANT_CONFIG_NO_WRITE_PATH,The detection-tuning half of the lifecycle loop is a write.,Demonstrate lifecycle management: detection tuning → enrichment → response → feedback loop
TC-TH-04,UC-TH,Threat Hunting,PLT,PARITY,external,TENANT_CONFIG_NO_WRITE_PATH,Marketplace dataset onboarding is a tenant configuration action.,Demonstrate Security-First Marketplace dataset onboarding for expanded telemetry
TC-TH-07,UC-TH,Threat Hunting,DET,PARITY,external,LICENSED_MODULE_REQUIRED,The Forensics add-on must be licensed and active for collection to occur.,Demonstrate forensics investigation and collection within hunting workflow
TC-TIM-01,UC-TIM,Threat Intelligence Management,PLT,LEAD,external,TENANT_CONFIG_NO_WRITE_PATH,"Despite the title's overlap with TC-XTI-01, this row's success criterion is DETECTION lifecycle and tuning feedback — authoring and retiring detections, which are writes. PLT-XTI-001 covers the indicator-lifecycle claim that IS measurable.","Validate TIM lifecycle management: ingest, deduplicate, score, expire IOCs across feeds"
TC-XDL-02,UC-XDL,Extended Data Lake (XDL) & Observability,DET,PARITY,external,LICENSED_MODULE_REQUIRED,Chronosphere telemetry pipeline is a separately licensed component.,Demonstrate Chronosphere Telemetry Pipeline filters low-value noise to reduce data volumes by 30%+ while preserving security-relevant signal
TC-XDL-03,UC-XDL,Extended Data Lake (XDL) & Observability,PLT,PARITY,external,TENANT_CONFIG_NO_WRITE_PATH,Tier routing rules are tenant configuration.,Validate cost-efficient data lake tiers automatically route data based on access frequency and investigation relevance
TC-XDL-04,UC-XDL,Extended Data Lake (XDL) & Observability,PLT,PARITY,external,TIME_HORIZON_EXCEEDS_POV,"12-month archived data with a <60s response bar. A POV cannot age data a year, and no probe measures query latency.","Validate flexible long-term retention supports 1-7 year compliance requirements (PCI-DSS, HIPAA, SOX) with full query capability on archived"
TC-XDL-05,UC-XDL,Extended Data Lake (XDL) & Observability,PLT,PARITY,buildable,BUILDABLE_BOTH,Incident reconstruction across retained data is expressible over the POV's own window; the multi-year framing is what is not.,Demonstrate forensic investigation across retained data sets supports incident reconstruction with full cross-source correlation
TC-XDL-06,UC-XDL,Extended Data Lake (XDL) & Observability,DET,PARITY,external,LICENSED_MODULE_REQUIRED,Federated search across external sources is a licensed capability with external data sources behind it.,Validate federated search queries distributed data sources without additional ingestion or storage costs
TC-XDL-07,UC-XDL,Extended Data Lake (XDL) & Observability,PLT,PARITY,external,LICENSED_MODULE_REQUIRED,"Same federated-search capability, cost framing.",Demonstrate federated search enables cost-effective investigation of data that would be prohibitively expensive to fully ingest
TC-XDL-08,UC-XDL,Extended Data Lake (XDL) & Observability,DET,PARITY,external,LICENSED_MODULE_REQUIRED,Chronosphere observability integration.,Validate Chronosphere observability integration enables security teams to correlate application performance anomalies with security events
TC-XDL-09,UC-XDL,Extended Data Lake (XDL) & Observability,PLT,PARITY,external,CONSOLE_ONLY_NO_READ_API,A unified dashboard is a console rendering.,Demonstrate unified security-observability dashboard enables joint SecOps/DevOps investigation reducing cross-team escalation time
TC-XTI-06,UC-XTI,Extended Threat Intelligence (XTI),PLT,MOAT,external,TIME_HORIZON_EXCEEDS_POV,Hunts 'across the full retention window' need a full retention window to exist.,Demonstrate scheduled intel-driven hunts against long-retention data without re-ingest cost
TC-XTI-08,UC-XTI,Extended Threat Intelligence (XTI),DET,LEAD,external,TENANT_CONFIG_NO_WRITE_PATH,Detection tuning from investigation outcomes is a write.,Demonstrate intel-driven detection tuning from investigation outcomes
TC-XTI-09,UC-XTI,Extended Threat Intelligence (XTI),POS,MOAT,buildable,BUILDABLE_BOTH,"asm plants the exposed CVE-bearing asset, tim publishes exploitation intel, assertion reads the re-ranked score. Genuinely expressible.",Validate exposure prioritization re-ranks when intel shows active exploitation
TC-XTI-10,UC-XTI,Extended Threat Intelligence (XTI),DET,LEAD,external,EXTERNAL_THIRD_PARTY_SYSTEM,Publishing to an ISAC peer requires the peer.,Demonstrate bidirectional ISAC/community intel exchange with sanitization controls
